"chemicals"	"results_folder"	"ecModel"	"media"	"carbon_source"	"overexpression"	"downregulation"	"deletion"	"common_OE"	"common_KO_KD"	"ovlp_OE"	"ovlp_KO_KD"
"Isobutanol"	"isobutanol_targets"	"ecIsobutanol.mat"	"YEP"	"glucose"	"YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C"	""	"YPL061W,YHR208W"	NA	NA	0	0
"Itaconic acid"	"itaconic_acid_targets"	"ecItaconic_acid.mat"	"YEP"	"glucose"	""	""	"YJR078W,YJR019C"	NA	NA	0	0
"Lactic acid"	"lactate_targets"	"ecLactate.mat"	"YEP"	"glucose"	""	""	"YDL022W,YML054C,YLR044C,YOL086C,YPL061W"	NA	"YDL022W"	0	0.166666666666667
"Limonene"	"limonene_targets"	"ecLimonene.mat"	"Min"	"glucose"	"YJL167W"	""	""	NA	NA	0	0
"Linalool"	"linalool_targets"	"ecLinalool.mat"	"Min"	"glucose"	"YJL167W"	""	""	NA	NA	0	0
"Lupeol"	"lupeol_targets"	"ecLupeol.mat"	"Min"	"glucose"	"YML075C,YML126C"	"YHR072W"	""	NA	NA	0	0
"Malate"	"malate_targets"	"ecMalate.mat"	"Min"	"glucose"	"YBR218C,YOL126C"	""	"YLR044C,YLR134W,YGR087C,YDL078C"	"YOL126C"	NA	0.5	0
"mandelic"	"mandelic_acid_targets"	"ecmandelic_acid.mat"	"Min"	"glucose"	"YDR127W"	""	"YBR166C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C"	"YDR127W"	NA	1	0
"Miltiradiene"	"miltiradiene_targets"	"ecMiltiradiene.mat"	"YEP"	"glucose"	"YPL069C,YJL167W,YML075C"	""	""	"YPL069C"	NA	0.333333333333333	0
"Naringenin"	"naringenin_targets"	"ecNaringenin.mat"	"Min"	"glucose"	""	""	"YDR035W,YBR249C,YDR380W,YLR134W,YGR087C"	NA	NA	0	0
"n-butanol"	"n-butanol_targets"	"ecn-Butanol.mat"	"YEP"	"glucose"	"YCL017C,YHR002W"	""	"YOL086C"	NA	NA	0	0
"Nicotianamine"	"nicotianamine_targets"	"ecNicotianamine.mat"	"YEP"	"glucose"	""	""	"YGL125W"	NA	NA	0	0
"Oleanolic acid"	"oleanolate_targets"	"ecOleanolate.mat"	"YEP"	"glucose"	"YML075C,YGR175C,YHR190W"	""	"YBR020W"	NA	NA	0	0
"L-ornithine "	"ornithine_targets"	"ecOrnithine.mat"	"Min"	"glucose"	"YOR130C,YPR021C,YOR375C"	"YJL088W"	"YLR438W"	"YPR021C,YOR375C"	"YLR438W"	0.666666666666667	0.5
"Patchoulol"	"patchoulol_targets"	"ecPatchoulol.mat"	"YEP"	"glucose"	"YML075C,YPL117C,YJL167W"	"YHR190W"	""	NA	NA	0	0
"Protopanaxadiol"	"protopanaxadiol_targets"	"ecProtopanaxadiol.mat"	"Min"	"glucose"	"YHR190W,YGR175C,YJL167W,YML075C"	""	""	NA	NA	0	0
"Psilocybin"	"psilocybin_targets"	"ecPsilocybin.mat"	"Min"	"glucose"	"YDR127W,YGL148W"	""	"YBR249C"	NA	NA	0	0
"Pyruvate"	"pyruvate_targets"	"ecPyruvate.mat"	"YEP"	"glucose"	""	""	"YLR044C,YLR134W,YGR087C"	NA	NA	0	0
"Rosmarinic acid"	"rosmarinic_acid_targets"	"ecRosmarinic_acid.mat"	"Min"	"glucose"	""	""	"YBR249C,YPR060C,YDR380W,YLR134W"	NA	NA	0	0
"Salidroside"	"salidroside_targets"	"ecSalidroside.mat"	"YEP"	"glucose"	""	""	"YNL316C,YLR044C,YKL211C"	NA	NA	0	0
"Santalene"	"santalene_targets"	"ecSantalene.mat"	"Min"	"glucose"	"YML075C,YJL167W,YDL215C"	"YHR190W"	"YDR503C,YDR284C,YOR375C"	"YML075C,YJL167W"	"YDR503C,YOR375C"	0.666666666666667	0.5
"Succinic acid"	"suc-retca_targets"	"ecSuc-reTCA.mat"	"Min"	"glucose"	""	""	"YLR044C,YLR134W,YGR087C,YPL262W,YER065C,YNL117W"	NA	NA	0	0
"Taxa-4(20),11(12)-dien-6alpha-yl acetate"	"taxadien_alpha_yl_acetate_targets"	"ecTaxadien_5alpha_yl_acetate.mat"	"YEP"	"glucose"	"YMR220W,YMR208W,YJL167W,YNR043W"	""	""	NA	NA	0	0
"triacylglycerol"	"triacylglycerol_targets"	"ectriacylglycerol.mat"	"Min"	"glucose"	"YNR016C,YMR165C"	""	"YMR313C,YKR089C,YOR081C,YPL147W"	NA	NA	0	0
"tyrosine"	"tyrosine_targets"	"ecTyrosine.mat"	"YEP"	"glucose"	""	""	"YDR035W,YBR249C,YDR380W,Zwf1"	NA	NA	0	0
"Tyrosol"	"tyrosol_targets"	"ecTyrosol.mat"	"YEP"	"glucose"	""	""	"YNL316C,YLR044C,YKL211C"	NA	NA	0	0
"Valencene"	"valencene_targets"	"ecValencene.mat"	"YEP"	"glucose"	"YML075C,YMR220W,YPL028W,YMR208W,YML126C,YJL167W,YNR043W,YPL117C"	"YHR190W"	"YPL069C,YDR284C,YDR503C"	"YML075C,YMR220W,YMR208W,YJL167W,YNR043W,YPL117C"	"YDR503C"	0.75	0.25
"vanillin-_-glucoside"	"vanillinbetaglucoside_targets"	"ecVanillin___glucoside.mat"	"Min"	"glucose"	""	""	"YMR318C,YLR300W"	NA	NA	0	0
"Vitamin A"	"vitamin_a_targets"	"ecVitamin_A.mat"	"Min"	"xylose"	""	""	"YPL061W"	NA	NA	0	0
"Xanthone"	"xanthone_targets"	"ecXanthone.mat"	"YEP"	"glucose"	""	"YJL167W"	""	NA	NA	0	0
"Nootkatone"	"nootkatone_targets"	"ecNootkatone.mat"	"YEP"	"glucose"	"YJL167W,YML075C"	"YHR190W"	""	"YJL167W,YML075C"	NA	1	0
"Cinnamoyltropine"	"cinnamoyltropine_targets"	"ecCinnamoyltropine.mat"	"YEP"	"glucose"	"YKL184W,YPL111W,YJL071W,YMR020W"	""	"YMR170C,YMR169C,YOR374W,YER073W,YMR110C,YLR017W"	"YKL184W"	NA	0.25	0
"Squalene"	"squalene_targets"	"ecSqualene.mat"	"YEP"	"ethanol"	"YML075C,YJL167W,YHR190W,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YMR303C"	""	""	"YML075C,YJL167W,YHR190W,YMR220W,YMR208W,YNR043W"	NA	0.666666666666667	0
"S-adenosyl-L-methionine"	"s-adenosyl-l-methionine_targets"	"ecS-adenosyl-L-methionine.mat"	"YEP"	"glucose"	"YDR502C"	""	"YOL052C"	NA	NA	0	0
