enzymes	genes	names	CC_lowGlc	CC_highGlc
Q6C0H4	YALI0F24673g	YALI0_F24673g	0	0
Q6C0I1	YALI0F24475g	YALI0_F24475g	0	0
Q6C0K3	YALI0F23947g	YALI0_F23947g	0	0
Q6C0K8	YALI0F23837g	YALI0_F23837g	0	0
Q6C0L1	YALI0F23749g	YALI0_F23749g	0	0
Q6C0L2	YALI0F23727g	COX10	0	0
Q6C0L8	YALI0F23573g	YALI0_F23573g	0	0
Q6C0M3	YALI0F23463g	YALI0_F23463g	0	0
Q6C0M4	YALI0F23441g	HER2	0	0
Q6C0N2	YALI0F23243g	YALI0_F23243g	0	0
Q6C0N3	YALI0F23221g	YALI0_F23221g	0	0
Q6C0P5	YALI0F22825g	YALI0_F22825g	0	0
Q6C0P7	YALI0F22781g	YALI0_F22781g	0	0
Q6C0Q5	YALI0F22605g	YALI0_F22605g	0	0
Q6C0Q9	YALI0F22517g	YALI0_F22517g	0	0
Q6C0W4	YALI0F21197g	YALI0_F21197g	0	0
Q6C0X8	YALI0F20900g	YALI0_F20900g	0	0
Q6C0Y3	YALI0F20790g	YALI0_F20790g	0	0
Q6C0Y7	YALI0F20702g	YALI0_F20702g	0	0
Q6C0Z3	YALI0F20570g	MCD4	0	0
Q6C0Z6	YALI0F20504g	CCP1	0	0
Q6C104	YALI0F20328g	YALI0_F20328g	0	0
Q6C105	YALI0F20306g	YALI0_F20306g	0	0
Q6C109	YALI0F20218g	YALI0_F20218g	0	0
Q6C138	YALI0F19514g	YALI0_F19514g	0	0
Q6C140	YALI0F19470g	YALI0_F19470g	0	0
Q6C141	YALI0F19448g	DUT1	0	0
Q6C158	YALI0F19052g	YALI0_F19052g	0	0
Q6C177	YALI0F18590g	YALI0_F18590g	0	0
Q6C181	YALI0F18502g	YALI0_F18502g	0	0
Q6C1A9	YALI0F17820g	YALI0_F17820g	0	0
Q6C1B7	YALI0F17644g	YALI0_F17644g	0	0
Q6C1E0	YALI0F17138g	DPH5	0	0
Q6C1F3	YALI0F16819g	ENO	0.0225927810586459	0.0134332942706965
Q6C1F6	YALI0F16709g	YALI0_F16709g	0	0
Q6C1H2	YALI0F16291g	YALI0_F16291g	0	0
Q6C1H5	YALI0F16181g	YALI0_F16181g	0	0
Q6C1I4	YALI0F15983g	YALI0_F15983g	0	0
Q6C1K0	YALI0F15631g	YALI0_F15631g	0	0
Q6C1K2	YALI0F15587g	YALI0_F15587g	0.0115678643978264	0.0131161091068319
Q6C1K9	YALI0F15345g	YALI0_F15345g	0	0
Q6C1R8	YALI0F14025g	YALI0_F14025g	0	0
Q6C1S2	YALI0F13937g	YALI0_F13937g	0	0
Q6C1T4	YALI0F13541g	IPP1	0	0
Q6C1T8	YALI0F13453g	YALI0_F13453g	0	0
Q6C1X0	YALI0F12749g	YALI0_F12749g	0	0
Q6C1X5	YALI0F12639g	ARO1	0.136636343342192	0.133990671112359
Q6C1Z1	YALI0F12199g	YALI0_F12199g	0	0
Q6C203	YALI0F11935g	YALI0_F11935g	0	0
Q6C211	YALI0F11759g	YALI0_F11759g	0	0
Q6C216	YALI0F11649g	GPI18	0	0
Q6C219	YALI0F11583g	YALI0_F11583g	0	0
Q6C231	YALI0F11297g	YALI0_F11297g	0	0
Q6C234	YALI0F11231g	YALI0_F11231g	0	0
Q6C246	YALI0F10923g	YALI0_F10923g	0	0
Q6C282	YALI0F10010g	YALI0_F10010g	0	0
Q6C284	YALI0F09966g	YALI0_F09966g	0	0
Q6C296	YALI0F09625g	YALI0_F09625g	0	0
Q6C297	YALI0F09603g	YALI0_F09603g	0	0
Q6C299	YALI0F09559g	YALI0_F09559g	0	0
Q6C2A4	YALI0F09449g	YALI0_F09449g	0	0
Q6C2A7	YALI0F09405g	YALI0_F09405g	0	0
Q6C2B0	YALI0F09339g	URA6	0	0
Q6C2B3	YALI0F09273g	YALI0_F09273g	0	0
Q6C2B4	YALI0F09251g	YALI0_F09251g	0	0
Q6C2B5	YALI0F09229g	YALI0_F09229g	0	0
Q6C2C1	YALI0F09097g	YALI0_F09097g	0	0
Q6C2D8	YALI0F08723g	YALI0_F08723g	0	0
Q6C2D9	YALI0F08701g	ERG6	0.0449870038040539	0.0112433527994225
Q6C2E3	YALI0F08613g	QCR2	0	0
Q6C2F2	YALI0F08415g	YALI0_F08415g	0	0
Q6C2F8	YALI0F08283g	YALI0_F08283g	0	0
Q6C2F9	YALI0F08217g	YALI0_F08217g	0	0
Q6C2G0	YALI0F08195g	YALI0_F08195g	0	0
Q6C2H6	YALI0F07821g	YALI0_F07821g	0	0
Q6C2I1	YALI0F07711g	YALI0_F07711g	0	0
Q6C2L0	YALI0F06974g	YALI0_F06974g	0	0
Q6C2L5	YALI0F06820g	YALI0_F06820g	0	0
Q6C2M0	YALI0F06710g	YALI0_F06710g	0	0
Q6C2M6	YALI0F06578g	YALI0_F06578g	0	0
Q6C2N1	YALI0F06468g	YALI0_F06468g	0	0
Q6C2N3	YALI0F06424g	YALI0_F06424g	0	0
Q6C2Q5	YALI0F05962g	YALI0_F05962g	0	0
Q6C2Q9	YALI0F05874g	YALI0_F05874g	0	0
Q6C2S1	YALI0F05632g	YALI0_F05632g	0	0
Q6C2S2	YALI0F05610g	COQ2	0	0
Q6C2T9	YALI0F05214g	TPI1	0	0
Q6C2U0	YALI0F05192g	HIS6	0	0
Q6C2U7	YALI0F05038g	YALI0_F05038g	0	0
Q6C2V6	YALI0F04774g	YALI0_F04774g	0	0
Q6C2W9	YALI0F04444g	YALI0_F04444g	0	0
Q6C2X2	YALI0F04378g	YALI0_F04378g	0	0
Q6C2Y0	YALI0F04169g	YALI0_F04169g	0	0
Q6C2Y4	YALI0F04095g	YALI0_F04095g	0	0
Q6C2Y8	YALI0F04015g	YALI0_F04015g	0	0
Q6C307	YALI0F03597g	YALI0_F03597g	0	0
Q6C326	YALI0F03179g	YALI0_F03179g	0	0
Q6C338	YALI0F02893g	YALI0_F02893g	0	0
Q6C340	YALI0F02849g	YALI0_F02849g	0	0
Q6C350	YALI0F02629g	YALI0_F02629g	0	0
Q6C354	YALI0F02497g	PDH1	0	0
Q6C363	YALI0F02299g	YALI0_F02299g	0	0
Q6C387	YALI0F01771g	YALI0_F01771g	0	0
Q6C391	YALI0F01672g	YALI0_F01672g	0	0
Q6C399	YALI0F01496g	YALI0_F01496g	0	0
Q6C3E0	YALI0F00506g	GLN1	0	0
Q6C3E1	YALI0F00484g	YALI0_F00484g	0	0
Q6C3E5	YALI0F00396g	YALI0F00396g	0	0
Q6C3G2	YALI0E35156g	YALI0_E35156g	0	0
Q6C3H5	YALI0E34793g	YALI0_E34793g	0	0
Q6C3H7	YALI0E34749g	YALI0_E34749g	0	0
Q6C3J7	YALI0E34265g	YALI0_E34265g	0	0
Q6C3K2	YALI0E34133g	ALG1	0	0
Q6C3K7	YALI0E34037g	QCR7	0	0
Q6C3L0	YALI0E33957g	YALI0_E33957g	0	0
Q6C3L7	YALI0E33774g	YALI0_E33774g	0	0
Q6C3M8	YALI0E33517g	YALI0_E33517g	0	0
Q6C3M9	YALI0E33495g	GET3	0	0
Q6C3P7	YALI0E33143g	YALI0_E33143g	0	0
Q6C3Q2	YALI0E33033g	YALI0_E33033g	0	0
Q6C3R1	YALI0E32791g	YALI0_E32791g	0	0
Q6C3S3	YALI0E32527g	YALI0_E32527g	0	0
Q6C3T1	YALI0E32351g	YALI0_E32351g	0.0179943948692018	0
Q6C3U4	YALI0E32065g	YALI0_E32065g	0	0
Q6C3U6	YALI0E32035g	YALI0_E32035g	0	0
Q6C3W5	YALI0E31647g	YALI0_E31647g	0	0
Q6C3X3	YALI0E31515g	YALI0_E31515g	0	0
Q6C3X5	YALI0E31471g	YALI0_E31471g	0	0
Q6C3Z7	YALI0E31009g	YALI0_E31009g	0	0
Q6C3Z9	YALI0E30965g	ACH1	0	0
Q6C416	YALI0E30591g	YALI0_E30591g	0	0
Q6C421	YALI0E30481g	YALI0_E30481g	0	0
Q6C433	YALI0E30129g	YALI0_E30129g	0	0
Q6C438	YALI0E29975g	YALI0_E29975g	0	0
Q6C450	YALI0E29667g	YALI0_E29667g	0	0
Q6C454	YALI0E29579g	YALI0_E29579g	0	0
Q6C473	YALI0E29161g	YALI0_E29161g	0	0
Q6C474	YALI0E29139g	YALI0_E29139g	0	0
Q6C482	YALI0E28963g	YALI0E28963g	0	0
Q6C490	YALI0E28787g	YALI0_E28787g	0	0
Q6C4A4	YALI0E28468g	YALI0_E28468g	0	0
Q6C4B5	YALI0E28237g	YALI0_E28237g	0	0
Q6C4B9	YALI0E28153g	YALI0_E28153g	0	0
Q6C4C6	YALI0E27874g	YALI0_E27874g	0	0
Q6C4E9	YALI0E27346g	YALI0_E27346g	0	0
Q6C4G4	YALI0E27005g	YALI0_E27005g	0	0
Q6C4H2	YALI0E26829g	YALI0_E26829g	0	0
Q6C4H7	YALI0E26719g	YALI0_E26719g	0	0
Q6C4K5	YALI0E26004g	YALI0_E26004g	0.0516375877876024	0.0317470322103049
Q6C4L7	YALI0E25740g	YALI0_E25740g	0	0
Q6C4M1	YALI0E25652g	YALI0_E25652g	0	0
Q6C4N1	YALI0E25091g	YALI0_E25091g	0	0
Q6C4Q2	YALI0E24607g	YALI0_E24607g	0	0
Q6C4Q7	YALI0E24497g	YALI0_E24497g	0	0
Q6C4S7	YALI0E24057g	YALI0_E24057g	0	0
Q6C4S9	YALI0E24013g	YALI0_E24013g	0	0
Q6C4T0	YALI0E23991g	YALI0_E23991g	0	0
Q6C4X4	YALI0E22979g	YALI0_E22979g	0	0
Q6C4Y7	YALI0E22649g	YALI0_E22649g	0	0
Q6C4Z3	YALI0E22462g	YALI0_E22462g	0	0
Q6C504	YALI0E22198g	YALI0_E22198g	0	0
Q6C513	YALI0E21934g	YALI0_E21934g	0	0
Q6C536	YALI0E21351g	YALI0_E21351g	0	0
Q6C538	YALI0E21307g	YALI0_E21307g	0	0
Q6C549	YALI0E21021g	YALI0_E21021g	0.0336470674347211	0
Q6C551	YALI0E20977g	YALI0_E20977g	0	0
Q6C564	YALI0E20691g	YALI0_E20691g	0	0
Q6C579	YALI0E20361g	YALI0_E20361g	0	0
Q6C584	YALI0E20207g	YALI0_E20207g	0	0
Q6C586	YALI0E20163g	YALI0_E20163g	0	0
Q6C5B6	YALI0E19448g	YALI0_E19448g	0	0
Q6C5D5	YALI0E18964g	YALI0_E18964g	0	0
Q6C5D6	YALI0E18942g	YALI0_E18942g	0	0
Q6C5D8	YALI0E18898g	YALI0_E18898g	0	0
Q6C5F0	YALI0E18634g	YALI0_E18634g	0	0
Q6C5G1	YALI0E18348g	YALI0_E18348g	0	0
Q6C5G4	YALI0E18282g	YALI0_E18282g	0	0
Q6C5G6	YALI0E18238g	YALI0_E18238g	0	0
Q6C5H4	YALI0E18029g	GLR1	0	0
Q6C5H6	YALI0E17985g	YALI0_E17985g	0	0
Q6C5H7	YALI0E17963g	YALI0_E17963g	0	0
Q6C5H9	YALI0E17919g	YALI0_E17919g	0	0
Q6C5J2	YALI0E17633g	YALI0_E17633g	0	0
Q6C5J7	YALI0E17479g	YALI0_E17479g	0	0
Q6C5K1	YALI0E17391g	PBN1	0	0
Q6C5K3	YALI0E17347g	YALI0_E17347g	0	0
Q6C5L8	YALI0E16929g	YALI0_E16929g	0	0
Q6C5L9	YALI0E16907g	YALI0_E16907g	0	0
Q6C5M4	YALI0E16797g	YALI0_E16797g	0	0
Q6C5N1	YALI0E16643g	YALI0_E16643g	0	0
Q6C5P4	YALI0E16368g	YALI0_E16368g	0	0
Q6C5P5	YALI0E16346g	YALI0_E16346g	0	0
Q6C5Q2	YALI0E16192g	YALI0_E16192g	0	0
Q6C5Q6	YALI0E16060g	YALI0_E16060g	0	0
Q6C5R4	YALI0E15840g	YALI0_E15840g	0	0
Q6C5R5	YALI0E15818g	YALI0_E15818g	0	0
Q6C5R8	YALI0E15730g	YALI0_E15730g	0	0
Q6C5R9	YALI0E15708g	YALI0_E15708g	0	0
Q6C5S9	YALI0E15488g	YALI0_E15488g	0.0282449707898932	0.0181964757790288
Q6C5T9	YALI0E15224g	COQ7	0	0
Q6C5U1	YALI0E15180g	YALI0_E15180g	0	0
Q6C5V2	YALI0E14949g	YALI0_E14949g	0	0
Q6C5V8	YALI0E14751g	YALI0_E14751g	0	0
Q6C5W5	YALI0E14597g	YALI0_E14597g	0	0
Q6C5X0	YALI0E14443g	YALI0_E14443g	0	0
Q6C5X5	YALI0E14322g	YALI0_E14322g	0	0
Q6C5X6	YALI0E14256g	YALI0_E14256g	0	0
Q6C5X9	YALI0E14190g	YALI0_E14190g	0	0
Q6C5Y3	YALI0E14102g	YALI0_E14102g	0	0
Q6C624	YALI0E13123g	YALI0_E13123g	0	0
Q6C627	YALI0E13057g	YALI0E13057g	0.0256683434477811	0
Q6C638	YALI0E12683g	YALI0_E12683g	0.0217837943849909	0
Q6C648	YALI0E12463g	YALI0_E12463g	0	0
Q6C649	YALI0E12441g	YALI0_E12441g	0	0
Q6C664	YALI0E12089g	YALI0_E12089g	0	0
Q6C673	YALI0E11913g	ISN1	0	0
Q6C682	YALI0E11671g	YALI0_E11671g	0	0
Q6C690	YALI0E11495g	YALI0_E11495g	0	0
Q6C695	YALI0E11385g	YALI0_E11385g	0	0
Q6C6D3	YALI0E10417g	YALI0_E10417g	0	0
Q6C6D8	YALI0E10307g	YALI0_E10307g	0	0
Q6C6F6	YALI0E09933g	YALI0_E09933g	0	0
Q6C6H1	YALI0E09603g	YALI0_E09603g	0	0
Q6C6I2	YALI0E09306g	YALI0_E09306g	0	0
Q6C6J2	YALI0E09108g	YALI0_E09108g	0	0
Q6C6K9	YALI0E08617g	YALI0_E08617g	0	0
Q6C6L9	YALI0E08360g	YALI0_E08360g	0	0
Q6C6P0	YALI0E07766g	YALI0_E07766g	0.0106643520392166	0
Q6C6P6	YALI0E07535g	YALI0_E07535g	0	0
Q6C6Q4	YALI0E07271g	YALI0_E07271g	0	0
Q6C6Q7	YALI0E07161g	IPK1	0	0
Q6C6R1	YALI0E07073g	YALI0_E07073g	0	0
Q6C6T4	YALI0E06479g	YALI0_E06479g	0.0101629689895839	0
Q6C6T5	YALI0E06457g	YALI0_E06457g	0	0
Q6C6T7	YALI0E06413g	YALI0_E06413g	0	0
Q6C6U3	YALI0E06193g	YALI0_E06193g	0	0
Q6C6U9	YALI0E06061g	CHO2	0	0
Q6C6W3	YALI0E05753g	YALI0_E05753g	0	0
Q6C6Y8	YALI0E05203g	YALI0_E05203g	0	0
Q6C6Z1	YALI0E05137g	YALI0_E05137g	0	0
Q6C6Z5	YALI0E05049g	YALI0_E05049g	0	0
Q6C6Z6	YALI0E05027g	YALI0_E05027g	0	0
Q6C6Z7	YALI0E05005g	YALI0_E05005g	0	0
Q6C700	YALI0E04939g	YALI0_E04939g	0	0
Q6C704	YALI0E04807g	YALI0_E04807g	0	0
Q6C706	YALI0E04763g	YALI0_E04763g	0	0
Q6C731	YALI0E04224g	YALI0_E04224g	0	0
Q6C741	YALI0E03960g	GPI11	0	0
Q6C773	YALI0E03212g	YALI0_E03212g	0	0
Q6C776	YALI0E03146g	YALI0_E03146g	0	0
Q6C791	YALI0E02728g	LYS4	0.0106621233352404	0
Q6C793	YALI0E02684g	YALI0E02684g	0	0
Q6C7A4	YALI0E02398g	YALI0_E02398g	0	0
Q6C7A8	YALI0E02310g	YALI0_E02310g	0	0
Q6C7A9	YALI0E02288g	YALI0_E02288g	0	0
Q6C7B1	YALI0E02244g	YALI0_E02244g	0	0
Q6C7B8	YALI0E02090g	YALI0_E02090g	0.0191482593447518	0
Q6C7C7	YALI0E01892g	YALI0_E01892g	0	0
Q6C7F4	YALI0E01254g	YALI0_E01254g	0	0
Q6C7H3	YALI0E00836g	YALI0_E00836g	0	0
Q6C7I7	YALI0E00528g	YALI0_E00528g	0	0
Q6C7J1	YALI0E00418g	YALI0_E00418g	0	0
Q6C7J6	YALI0E00264g	YALI0_E00264g	0	0
Q6C7J7	YALI0E00242g	YALI0_E00242g	0	0
Q6C7L2	YALI0D27170g	YALI0_D27170g	0	0
Q6C7L4	YALI0D27126g	TRR1	0	0
Q6C7L9	YALI0D27016g	YALI0_D27016g	0	0
Q6C7P9	YALI0D26367g	YALI0_D26367g	0	0
Q6C7R6	YALI0D25938g	YALI0_D25938g	0	0
Q6C7T0	YALI0D25630g	YALI0_D25630g	0	0
Q6C7T3	YALI0D25564g	YALI0_D25564g	0	0
Q6C7T7	YALI0D25476g	YALI0_D25476g	0	0
Q6C7U9	YALI0D25168g	YALI0_D25168g	0	0
Q6C7X2	YALI0D24629g	YALI0_D24629g	0	0
Q6C7Y1	YALI0D24431g	YALI0_D24431g	0	0
Q6C7Y2	YALI0D24409g	YALI0_D24409g	0	0
Q6C806	YALI0D23815g	YALI0_D23815g	0	0
Q6C812	YALI0D23683g	YALI0_D23683g	0	0
Q6C814	YALI0D23639g	YALI0_D23639g	0	0
Q6C823	YALI0D23397g	YALI0_D23397g	0	0
Q6C826	YALI0D23331g	YALI0_D23331g	0	0
Q6C844	YALI0D22891g	YALI0_D22891g	0	0
Q6C846	YALI0D22847g	ARG8	0	0
Q6C859	YALI0D22484g	YALI0_D22484g	0	0
Q6C868	YALI0D22264g	YALI0_D22264g	0	0
Q6C877	YALI0D22022g	YALI0_D22022g	0	0
Q6C893	YALI0D21604g	PSD1	0.0154602454843521	0
Q6C897	YALI0D21530g	YALI0_D21530g	0	0
Q6C8C2	YALI0D20878g	YALI0_D20878g	0.0341004249001001	0
Q6C8C6	YALI0D20768g	YALI0_D20768g	0	0
Q6C8E6	YALI0D20262g	YALI0_D20262g	0	0
Q6C8F2	YALI0D20152g	YALI0_D20152g	0	0
Q6C8I1	YALI0D19426g	YALI0_D19426g	0	0
Q6C8J1	YALI0D19206g	YALI0_D19206g	0	0
Q6C8J2	YALI0D19184g	YALI0_D19184g	0	0
Q6C8J4	YALI0D19140g	YALI0_D19140g	0	0
Q6C8K4	YALI0D18920g	YALI0_D18920g	0	0
Q6C8M5	YALI0D18458g	YALI0_D18458g	0	0
Q6C8M8	YALI0D18403g	ATG26	0	0
Q6C8M9	YALI0D18381g	YALI0_D18381g	0	0
Q6C8N1	YALI0D18337g	YALI0_D18337g	0	0
Q6C8N4	YALI0D18271g	YALI0_D18271g	0	0
Q6C8Q1	YALI0D17930g	YALI0_D17930g	0.598579220948029	0.58696594556819
Q6C8Q3	YALI0D17864g	YALI0_D17864g	0	0
Q6C8Q4	YALI0D17842g	YALI0_D17842g	0	0
Q6C8R7	YALI0D17556g	YALI0_D17556g	0	0
Q6C8R8	YALI0D17534g	YALI0_D17534g	0	0
Q6C8S0	YALI0D17490g	YALI0_D17490g	0	0
Q6C8S4	YALI0D17402g	YALI0_D17402g	0	0
Q6C8T8	YALI0D17072g	YALI0_D17072g	0	0
Q6C8T9	YALI0D17050g	YALI0_D17050g	0	0
Q6C8V1	YALI0D16797g	UTR4	0	0
Q6C8V3	YALI0D16753g	YALI0_D16753g	0	0
Q6C8V7	YALI0D16643g	YALI0_D16643g	0	0
Q6C8W4	YALI0D16379g	YALI0D16379g	0	0
Q6C8Z4	YALI0D15598g	YALI0_D15598g	0	0
Q6C903	YALI0D15400g	YALI0_D15400g	0	0
Q6C909	YALI0D15268g	YALI0_D15268g	0	0
Q6C924	YALI0D14894g	YALI0_D14894g	0	0
Q6C926	YALI0D14850g	YALI0_D14850g	0	0
Q6C928	YALI0D14762g	YALI0_D14762g	0	0
Q6C946	YALI0D14322g	YALI0_D14322g	0	0
Q6C968	YALI0D13596g	YALI0_D13596g	0.113510112948268	0.0282544497813946
Q6C985	YALI0D13112g	YALI0_D13112g	0	0
Q6C9B1	YALI0D12584g	YALI0_D12584g	0	0
Q6C9C1	YALI0D12386g	YALI0_D12386g	0	0
Q6C9E6	YALI0D11814g	YALI0_D11814g	0	0
Q6C9F1	YALI0D11704g	YALI0_D11704g	0	0
Q6C9F5	YALI0D11616g	YALI0_D11616g	0	0
Q6C9G6	YALI0D11374g	YALI0_D11374g	0	0
Q6C9H5	YALI0D11176g	YALI0_D11176g	0	0
Q6C9H7	YALI0D11110g	YALI0_D11110g	0	0
Q6C9K0	YALI0D10593g	YALI0_D10593g	0	0
Q6C9L5	YALI0D10131g	YALI0_D10131g	0.0243189286352911	0.0118212226893049
Q6C9M8	YALI0D09867g	BNA4	0	0
Q6C9P6	YALI0D09361g	YALI0_D09361g	0.0318443104915848	0
Q6C9Q0	YALI0D09273g	CYC1	0	0
Q6C9Q2	YALI0D09229g	YALI0_D09229g	0	0
Q6C9S3	YALI0D08778g	YALI0_D08778g	0	0
Q6C9S7	YALI0D08690g	YALI0_D08690g	0	0
Q6C9T5	YALI0D08514g	YALI0_D08514g	0	0
Q6C9U9	YALI0D08206g	YALI0_D08206g	0	0
Q6C9V7	YALI0D07942g	YALI0_D07942g	0.027305772687239	0.0158242346936359
Q6C9X2	YALI0D07634g	YALI0_D07634g	0	0
Q6C9Y4	YALI0D07370g	CPA1	0	0
Q6C9Z8	YALI0D07062g	YALI0_D07062g	0	0
Q6CA02	YALI0D06974g	YALI0_D06974g	0	0
Q6CA04	YALI0D06930g	YALI0_D06930g	0	0
Q6CA24	YALI0D06501g	YALI0_D06501g	0	0
Q6CA28	YALI0D06413g	YALI0_D06413g	0	0
Q6CA32	YALI0D06325g	YALI0_D06325g	0	0
Q6CA33	YALI0D06303g	YALI0_D06303g	0	0
Q6CA34	YALI0D06281g	YALI0_D06281g	0	0
Q6CA49	YALI0D05929g	YALI0_D05929g	0	0
Q6CA53	YALI0D05797g	APT1	0	0
Q6CA97	YALI0D04741g	YALI0_D04741g	0	0
Q6CAB0	YALI0D04378g	YALI0_D04378g	0	0
Q6CAB8	YALI0D04202g	GPI10	0	0
Q6CAC3	YALI0D04092g	YALI0_D04092g	0	0
Q6CAE1	YALI0D03619g	YALI0_D03619g	0	0
Q6CAE7	YALI0D03480g	PSD2	0	0
Q6CAF2	YALI0D03333g	YALI0_D03333g	0	0
Q6CAF6	YALI0D03179g	YALI0_D03179g	0	0
Q6CAF8	YALI0D03135g	YALI0_D03135g	0.0223821880957069	0
Q6CAG1	YALI0D03069g	YALI0_D03069g	0	0
Q6CAI4	YALI0D02497g	YALI0_D02497g	0	0
Q6CAJ1	YALI0D02321g	YALI0_D02321g	0	0
Q6CAJ7	YALI0D02167g	YALI0_D02167g	0.0409714313836433	0.0269651588934049
Q6CAL6	YALI0D01694g	YALI0_D01694g	0	0
Q6CAN2	YALI0D01309g	YALI0_D01309g	0	0
Q6CAN4	YALI0D01265g	YALI0_D01265g	0	0
Q6CAP2	YALI0D01089g	YALI0_D01089g	0	0
Q6CAR4	YALI0D00605g	YALI0_D00605g	0	0
Q6CAR5	YALI0D00583g	YALI0_D00583g	0	0
Q6CAU0	YALI0C24354g	YALI0_C24354g	0	0
Q6CAV2	YALI0C24101g	YALI0_C24101g	0	0
Q6CAW6	YALI0C23793g	GWT1	0	0
Q6CAY2	YALI0C23408g	YALI0_C23408g	0	0
Q6CAZ2	YALI0C23210g	YALI0_C23210g	0	0
Q6CB00	YALI0C23034g	YALI0_C23034g	0	0
Q6CB38	YALI0C22165g	YALI0_C22165g	0	0
Q6CB42	YALI0C22088g	YALI0_C22088g	0	0
Q6CB89	YALI0C21065g	YALI0_C21065g	0	0
Q6CBA5	YALI0C20669g	YALI0_C20669g	0	0
Q6CBB0	YALI0C20427g	MDE1	0	0
Q6CBB1	YALI0C20405g	YALI0_C20405g	0	0
Q6CBB9	YALI0C20251g	YALI0_C20251g	0	0
Q6CBC8	YALI0C19965g	YALI0_C19965g	0	0
Q6CBD2	YALI0C19866g	YALI0_C19866g	0	0
Q6CBD9	YALI0C19712g	YALI0_C19712g	0	0
Q6CBE4	YALI0C19624g	ETR1	0	0
Q6CBG4	YALI0C19085g	YALI0_C19085g	0	0
Q6CBH1	YALI0C18799g	YALI0_C18799g	0	0
Q6CBH3	YALI0C18755g	COQ1	0	0
Q6CBI1	YALI0C18535g	YALI0_C18535g	0	0
Q6CBI6	YALI0C18425g	YALI0_C18425g	0	0
Q6CBJ6	YALI0C18205g	COQ5	0	0
