Row	s_4207	Growth		yield (u=0.05)	FC (0.05/0.1)
YPL281C	1	1		0.529797858	1.180849167
YMR241W	1	1		0.530234	1.18182127
YJR057W	1	1		0.529797938	1.180849347
YDL219W	1	1		0.529816816	1.180891423
YLL057C	1	1		0.529817462	1.180892862
YJL045W	1	1		0.529797934	1.180849338
YBR018C	1	1		0.53144632	1.184523371
YGR286C	1	1		0.529797858	1.180849167
YFL017C	1	1		0.529797908	1.18084928
YER070W	1	1		0.529798467	1.180850524
YEL031W	1	1		0.529799111	1.18085196
YBL030C	1	1		0.529797914	1.180849293
YBR068C	1	1		0.529797914	1.180849293
YBR069C	1	1		0.529797914	1.180849293
YBR085W	1	1		0.529797914	1.180849293
YBR293W	1	1		0.529797914	1.180849293
YBR294W	1	1		0.529797914	1.180849293
YBR296C	1	1		0.529797914	1.180849293
YBR298C	1	1		0.529797914	1.180849293
YCL025C	1	1	AGP1 	0.529797914	1.180849293
YCL069W	1	1		0.529797914	1.180849293
YCR037C	1	1		0.529797914	1.180849293
YDL245C	1	1		0.529797914	1.180849293
YDL247W	1	1		0.529797914	1.180849293
YDR046C	1	1	BAP3	0.529797914	1.180849293
YDR342C	1	1		0.529797914	1.180849293
YDR343C	1	1		0.529797914	1.180849293
YDR345C	1	1		0.529797914	1.180849293
YDR384C	1	1		0.529797914	1.180849293
YDR497C	1	1		0.529797914	1.180849293
YDR508C	1	1	GNP1	0.529797914	1.180849293
YDR536W	1	1		0.529797914	1.180849293
YEL006W	1	1		0.529797914	1.180849293
YEL063C	1	1		0.529797914	1.180849293
YEL069C	1	1		0.529797914	1.180849293
YER053C	1	1		0.529797914	1.180849293
YER056C	1	1		0.529797914	1.180849293
YER060W	1	1		0.529797914	1.180849293
YER060W-A	1	1		0.529797914	1.180849293
YFL011W	1	1		0.529797914	1.180849293
YFL055W	1	1		0.529797914	1.180849293
YGL084C	1	1		0.529797914	1.180849293
YGR055W	1	1		0.529797914	1.180849293
YGR121C	1	1		0.529797914	1.180849293
YGR138C	1	1		0.529797914	1.180849293
YGR143W	1	1		0.529817117	1.180892093
YGR191W	1	1		0.529797914	1.180849293
YGR243W	1	1		0.529797914	1.180849293
YHL036W	1	1		0.529797914	1.180849293
YHR092C	1	1		0.529797914	1.180849293
YHR094C	1	1		0.529797914	1.180849293
YHR096C	1	1		0.529797914	1.180849293
YHR162W	1	1		0.529797914	1.180849293
YIL013C	1	1		0.529797914	1.180849293
YJL129C	1	1		0.529797914	1.180849293
YJL198W	1	1		0.529797914	1.180849293
YJL214W	1	1		0.529797914	1.180849293
YJL219W	1	1		0.529797914	1.180849293
YJR077C	1	1		0.529797914	1.180849293
YJR158W	1	1		0.529797914	1.180849293
YJR160C	1	1		0.529797914	1.180849293
YKL146W	1	1		0.529797914	1.180849293
YKR039W	1	1		0.529797914	1.180849293
YLL015W	1	1		0.529797914	1.180849293
YLL028W	1	1		0.529797914	1.180849293
YLL043W	1	1		0.529797914	1.180849293
YLL052C	1	1		0.529797914	1.180849293
YLR081W	1	1		0.529797914	1.180849293
YLR092W	1	1		0.529797914	1.180849293
YLR138W	1	1		0.529797914	1.180849293
YLR237W	1	1		0.529797914	1.180849293
YML123C	1	1		0.529797914	1.180849293
YMR011W	1	1		0.529797914	1.180849293
YMR056C	1	1		0.529797914	1.180849293
YMR088C	1	1		0.529797914	1.180849293
YNL101W	1	1		0.529797914	1.180849293
YNL142W	1	1		0.529797914	1.180849293
YNL268W	1	1		0.529797914	1.180849293
YNL270C	1	1		0.529797914	1.180849293
YNL318C	1	1		0.529797914	1.180849293
YNR013C	1	1		0.529797914	1.180849293
YNR072W	1	1		0.529797914	1.180849293
YOL020W	1	1		0.529797914	1.180849293
YOL103W	1	1		0.529797914	1.180849293
YOL156W	1	1		0.529797914	1.180849293
YOR011W	1	1		0.529797914	1.180849293
YOR071C	1	1		0.529797914	1.180849293
YOR192C	1	1		0.529797914	1.180849293
YOR222W	1	1		0.529797914	1.180849293
YOR273C	1	1		0.529797914	1.180849293
YOR348C	1	1		0.529797914	1.180849293
YPL134C	1	1		0.529797914	1.180849293
YPL189W	1	1		0.529797914	1.180849293
YPL265W	1	1		0.529797914	1.180849293
YPR138C	1	1		0.529797914	1.180849293
YPR156C	1	1		0.529797914	1.180849293
YPR159W	1	1		0.529797914	1.180849293
YPR192W	1	1		0.529797914	1.180849293
YAR069W-A	1	1		0.529797914	1.180849293
YHR214W-F	1	1		0.529797914	1.180849293
YOL092W	1	1		0.529797914	1.180849293
YBR241C	1	1		0.529797914	1.180849293
YGL104C	1	1		0.529797914	1.180849293
YDR387C	1	1		0.529797914	1.180849293
YFL054C	1	1		0.529797914	1.180849293
YDR105C	1	1		0.529797914	1.180849293
YDR456W	1	1		0.529797914	1.180849293
YBR147W	1	1		0.529797914	1.180849293
YDR352W	1	1		0.529797914	1.180849293
YOR316C	1	1		0.529797914	1.180849293
YOR226C	1	1		0.529797914	1.180849293
YPL135W	1	1		0.529797914	1.180849293
YOR334W	1	1		0.529797914	1.180849293
YPL060W	1	1		0.529797914	1.180849293
YMR323W	1	1		0.529801143	1.180856489
YMR054W	1	1		0.529798007	1.180849499
YML100W	1	1		0.529802008	1.180858417
YNR012W	1	1		0.529797913	1.18084929
YOR347C	1	1		0.529797913	1.180849289
YDR256C	1	1		0.530234376	1.181822108
YOR270C	1	1		0.529799166	1.180852082
YOR393W	1	1		0.529804718	1.180864457
YGR088W	1	1		0.529817462	1.180892862
YGR177C	1	1		0.529797858	1.180849167
YHR063C	1	1		0.529798831	1.180851337
YFR019W	1	1		0.529797914	1.180849293
YNL045W	1	1		0.530233595	1.181820367
YBR127C	1	1		0.529797858	1.180849167
YDL185W	1	1		0.529797858	1.180849167
YEL027W	1	1		0.529797858	1.180849167
YEL051W	1	1		0.529797858	1.180849167
YGR020C	1	1		0.529797858	1.180849167
YHR026W	1	1		0.529797858	1.180849167
YHR039C-A	1	1		0.529797858	1.180849167
YKL080W	1	1		0.529797858	1.180849167
YLR447C	1	1		0.529797858	1.180849167
YOR332W	1	1		0.529797858	1.180849167
YPL234C	1	1		0.529797858	1.180849167
YPR036W	1	1		0.529797858	1.180849167
YER141W	1	1		0.531157541	1.18387972
YPL258C	0.999999999	1		0.529797913	1.180849289
YPR002W	0.999999999	1		0.529797913	1.180849289
YOL055C	0.999999999	1		0.529797913	1.180849289
YER170W	0.999999718	1		0.531000387	1.183529445
YDR428C	0.999999686	1		0.529797913	1.180849289
YJR078W	0.999999686	1		0.529801487	1.180857257
YFR055W	0.999999686	1		0.529797908	1.18084928
YDR231C	0.999999686	1		0.529817117	1.180892093
YGR062C	0.999999686	1		0.529817117	1.180892093
YHR116W	0.999999686	1		0.529817117	1.180892093
YJL003W	0.999999686	1		0.529817117	1.180892093
YLL018C-A	0.999999686	1		0.529817117	1.180892093
YPL132W	0.999999686	1		0.529817117	1.180892093
YAL012W	0.999999686	1		0.531924592	1.185589375
YFR047C	0.999999686	1		0.529817127	1.180892116
YNL267W	0.999999686	1		0.529797913	1.180849289
YBR019C	0.999999686	1		0.529797913	1.180849289
YJR155W	0.999999686	1		0.52979786	1.180849171
YJL196C	0.999999686	1		0.529798798	1.180851262
YJL100W	0.999999686	1		0.531879776	1.185489488
YGL184C	0.999999686	1		0.531104086	1.183760577
YMR008C	0.999999686	1		0.529798014	1.180849516
YLR142W	0.999999686	1		0.529798467	1.180850524
YLR345W	0.999999686	1		0.529797914	1.180849293
YPL188W	0.999999686	1		0.529797978	1.180849434
YDR402C	0.999999686	1		0.529798344	1.180850251
YBR023C	0.999999686	1		0.529801143	1.180856489
YHR123W	0.999999686	1		0.529798	1.180849483
YGR248W	0.999999686	1		0.530233768	1.181820754
YDR036C	0.999999686	1		0.529801498	1.18085728
YGR192C	0.999999686	1	TDH3	0.531392176	1.18440269
YBR084W	0.999999686	1		0.529798412	1.180850402
YPR006C	0.999999686	1		0.529798467	1.180850524
YMR313C	0.999999686	1		0.529798526	1.180850656
YDR236C	0.999999686	1		0.531879947	1.185489868
YGR124W	0.999999686	1		0.529798897	1.180851484
YHR106W	0.999999686	1		0.529798467	1.180850524
YDL243C	0.999999686	1		0.52979786	1.180849171
YPL091W	0.999999686	1		0.52981776	1.180893526
YHL018W	0.999999686	1		0.529798032	1.180849556
YDR533C	0.999999686	1		0.530233582	1.18182034
YOL065C	0.999999686	1		0.529797908	1.18084928
YKR066C	0.999999686	1		0.529797913	1.180849289
YCR005C	0.999999686	1		0.529798467	1.180850524
YER015W	0.999999686	1		0.529797913	1.180849289
YKL140W	0.999999686	1		0.529799453	1.180852724
YPL280W	0.999999686	1		0.530233582	1.18182034
YEL058W	0.999999686	1		0.529832874	1.180927213
YDL052C	0.999999686	1		0.529817462	1.180892862
YLR328W	0.999999686	1		0.529798342	1.180850247
YEL066W	0.999999686	1		0.529797913	1.180849289
YKL184W	0.999999686	1		0.529817117	1.180892093
YBR218C	0.999999686	1		0.531879528	1.185488935
YBR003W	0.999999686	1		0.529797911	1.180849285
YGR012W	0.999999686	1		0.529797914	1.180849293
YJR010W	0.999999686	1		0.529817225	1.180892334
YLR017W	0.999999686	1		0.529798562	1.180850738
YOL052C	0.999999686	1		0.529797973	1.180849425
YLR303W	0.999999686	1		0.529797913	1.180849289
YHL032C	0.999999686	1		0.529797913	1.180849289
YCR034W	0.999999686	1		0.531879949	1.185489872
YPL148C	0.999999686	1		0.531917684	1.185573978
YBR006W	0.999999686	1		0.529797978	1.180849434
YGR019W	0.999999686	1		0.529798532	1.180850669
YMR145C	0.999999686	1		0.529817516	1.180892984
YIR036C	0.999999686	1		0.529802403	1.180859298
YER010C	0.999999686	1		0.529797976	1.18084943
YLR438W	0.999999686	1		0.529817129	1.18089212
YLR020C	0.999999686	1		0.529797939	1.180849348
YLL031C	0.999999686	1		0.531923015	1.18558586
YLR043C	0.999999686	1		0.529799153	1.180852054
YKR031C	0.999999686	1		0.52979853	1.180850665
YOR161C	0.999999686	1		0.531445968	1.184522585
YNL130C	0.999999686	1		0.529798406	1.180850389
YGR194C	0.999999686	1		0.529797858	1.180849167
YKL087C	0.999999686	1		0.531157563	1.18387977
YBR222C	0.999999686	1		0.529797978	1.180849434
YCR011C	0.999999686	1		0.529801664	1.18085765
YIL023C	0.999999686	1		0.529801664	1.18085765
YKL055C	0.999999686	1		0.529817117	1.180892093
YNR057C	0.999999686	1		0.529797913	1.180849289
YAL039C	0.999999686	1		0.529797858	1.180849167
YER061C	0.999999686	1		0.529817117	1.180892093
YNR056C	0.999999686	1		0.52979881	1.18085129
YGL224C	0.999999686	1		0.529797914	1.180849293
YBR020W	0.999999686	1		0.531441206	1.184511972
YDR481C	0.999999686	1		0.529798414	1.180850406
YMR207C	0.999999686	1		0.531467524	1.184570632
YDL015C	0.999999686	1		0.529817474	1.180892889
YFL059W	0.999999686	1		0.529797997	1.180849478
YLR377C	0.99999968	1		0.529798531	1.180850667
YMR087W	0.999999645	1		0.529799798	1.180853492
YMR293C	0.999999645	1		0.529817117	1.180892093
YGL006W	0.999999645	1		0.529797976	1.18084943
YCR024C	0.999999645	1		0.529817462	1.180892862
YHR091C	0.999999645	1		0.529817462	1.180892862
YPL104W	0.999999645	1		0.529817462	1.180892862
YER087W	0.999999645	1		0.529817462	1.180892862
YOR149C	0.999999639	1		0.529817117	1.180892093
YHL011C	0.999999639	1		0.529798467	1.180850524
YOL061W	0.999999639	1		0.529817118	1.180892096
YJL097W	0.999999639	1		0.529798054	1.180849605
YBR249C	0.999999635	1		0.529798733	1.180851117
YIL107C	0.999999583	1		0.529823022	1.180905255
YCR105W	0.999999583	1		0.529801153	1.180856513
YBR243C	0.999999581	1		0.529821044	1.180900846
YGL125W	0.999999028	1		0.529797781	1.180848996
YCL017C	0.999998807	1		0.529797913	1.180849289
YIL099W	0.999998762	1		0.529797945	1.180849361
YPR145W	0.999998748	1		0.529797826	1.180849097
YJR069C	0.999998739	1		0.531093232	1.183736385
YKR043C	0.999998706	1		0.530244462	1.181844588
YNL277W	0.999998706	1		0.529801153	1.180856513
YMR165C	0.999998706	1		0.531441611	1.184512876
YDR287W	0.999998468	1		0.529816671	1.180891099
YDR148C	0.999998391	1		0.531883877	1.185498628
YIL125W	0.999998391	1		0.531883877	1.185498628
YDR023W	0.999998391	1		0.529817117	1.180892093
YBR281C	0.999998391	1		0.529817117	1.180892093
YNL191W	0.999998391	1		0.529817117	1.180892093
YKL132C	0.999998391	1		0.529797914	1.180849293
YNL036W	0.999996995	1		0.529811721	1.180880065
YLR134W	0.999996164	1		0.529804694	1.180864405
YBL039C	0.999996141	1		0.529798467	1.180850524
YLR285W	0.999996141	1		0.529798469	1.180850529
YPL040C	0.999996141	1		0.529798515	1.180850632
YLR432W	0.999996141	1		0.530238272	1.181830792
YLR189C	0.999996141	1		0.529817462	1.180892862
YMR013C	0.999996141	1		0.529817462	1.180892862
YBR021W	0.999996141	1		0.529817127	1.180892116
YMR099C	0.999996141	1		0.529800843	1.18085582
YDR017C	0.999996141	1		0.529802335	1.180859147
YER175C	0.999996141	1		0.529798515	1.180850632
YLL062C	0.999996141	1		0.529797914	1.180849293
YOR081C	0.999996084	1		0.529797858	1.180849167
YGR032W	0.999996038	1		0.529805007	1.180865102
YBL091C	0.999996038	1		0.529797913	1.180849289
YMR202W	0.999996038	1		0.529798002	1.180849487
YDL168W	0.999996038	1		0.529817104	1.180892065
YPL244C	0.999996038	1		0.529797961	1.180849397
YIR027C	0.999996038	1		0.52979786	1.180849171
YLR099C	0.999996038	1		0.530222031	1.181794593
YBR176W	0.999996038	1		0.529799333	1.180852454
YPR139C	0.999996038	1		0.530222031	1.181794593
YKR076W	0.999996038	1		0.529823012	1.180905232
YIL006W	0.999996038	1		0.529797858	1.180849167
YKL094W	0.999996038	1		0.529798821	1.180851314
YBL098W	0.999996038	1		0.529797989	1.18084946
YJR025C	0.999996038	1		0.529798477	1.180850547
YGR110W	0.999996038	1		0.529797923	1.180849311
YFL030W	0.999996038	1		0.529797937	1.180849343
YDL215C	0.999996038	1		0.529801143	1.180856489
YOR120W	0.999996038	1		0.529817127	1.180892116
YOL033W	0.999996038	1		0.529798515	1.180850632
YML059C	0.999996038	1		0.529797913	1.180849289
YPL092W	0.999996038	1		0.529797913	1.18084929
YEL038W	0.999996038	1		0.529797914	1.180849293
YMR009W	0.999996038	1		0.529797914	1.180849293
YJR024C	0.999996038	1		0.529797914	1.180849293
YLR258W	0.999996005	1		0.529820706	1.180900092
YMR251W	0.999995826	1		0.529798006	1.180849498
YKL141W	0.999995826	1		0.529798467	1.180850524
YLL041C	0.999995826	1		0.529798467	1.180850524
YGL186C	0.999995826	1		0.529797913	1.180849289
YMR250W	0.999995826	1		0.529798528	1.18085066
YNL003C	0.999995826	1		0.529798821	1.180851314
YJL071W	0.999995826	1		0.529797913	1.180849289
YJL168C	0.999995826	1		0.529797914	1.180849293
YDL246C	0.999995825	1		0.52979786	1.180849171
YPL069C	0.99999578	1		0.529802358	1.180859199
YER042W	0.99999577	1		0.52979786	1.180849171
YNL117W	0.99999577	1		0.529798467	1.180850524
YAL054C	0.999995756	1		0.529797866	1.180849186
YBL015W	0.999995756	1		0.529826643	1.180913325
YNL331C	0.999995724	1		0.52979786	1.180849171
YDR208W	0.999995723	1		0.52980001	1.180853963
YPR128C	0.999995723	1		0.529798985	1.18085168
YCL040W	0.999995723	1		0.529798469	1.180850529
YNR008W	0.999995723	1		0.529797858	1.180849167
YGL205W	0.999995723	1		0.531884579	1.185500191
YBR001C	0.999995723	1		0.531429146	1.184485092
YCL035C	0.999995723	1		0.531103762	1.183759855
YIL124W	0.999995723	1		0.529797963	1.180849402
YHR216W	0.999995723	1		0.529797976	1.18084943
YDR135C	0.999995723	1		0.529798	1.180849483
YOR221C	0.999995723	1		0.531215711	1.184009373
YKL218C	0.999995723	1		0.529797884	1.180849224
YJL134W	0.999995723	1		0.529797913	1.180849289
YLR260W	0.999995723	1		0.529797913	1.180849289
YCR083W	0.999995723	1		0.529798436	1.180850456
YEL039C	0.999995723	1		0.530234012	1.181821298
YBR038W	0.999995723	1		0.529821366	1.180901564
YGL253W	0.999995723	1		0.529797978	1.180849434
YKL106W	0.999995723	1		0.529797914	1.180849293
YDR513W	0.999995723	1		0.529823013	1.180905236
YGL080W	0.999995723	1		0.529797913	1.180849289
YCR075C	0.999995723	1		0.529798515	1.180850632
YGR096W	0.999995723	1		0.529817117	1.180892093
YLL048C	0.999995723	1		0.529817462	1.180892862
YLL061W	0.999995723	1		0.529798515	1.180850632
YML070W	0.999995723	1		0.531484498	1.184608464
YLR109W	0.999995723	1		0.529797976	1.18084943
YNR041C	0.999995723	1		0.529797973	1.180849425
YDR040C	0.999995723	1		0.529797939	1.180849348
YGL065C	0.999995723	1		0.529801143	1.180856489
YFL060C	0.999995723	1		0.532359521	1.186558774
YNL202W	0.999995723	1		0.529827146	1.180914446
YOR109W	0.999995723	1		0.529797914	1.180849293
YDR441C	0.999995723	1		0.531095358	1.183741122
YLR164W	0.999995723	1		0.529798032	1.180849556
YOR180C	0.999995723	1		0.529827146	1.180914446
YPR026W	0.999995723	1		0.529798398	1.18085037
YDR305C	0.999995723	1		0.529798467	1.180850524
YJL005W	0.999995723	1		0.531441611	1.184512876
YLR342W	0.999995723	1		0.529798467	1.180850524
YDR453C	0.999995723	1		0.529797914	1.180849293
YKL217W	0.999995723	1		0.531880349	1.185490765
YGL077C	0.999995723	1		0.529797858	1.180849167
YOR245C	0.999995723	1		0.529797976	1.18084943
YIL160C	0.999995723	1		0.529797958	1.180849391
YBR145W	0.999995723	1	ADH5	0.530226547	1.181804658
YLR133W	0.999995723	1		0.531441611	1.184512876
YOL157C	0.999995723	1		0.529798821	1.180851314
YGL037C	0.999995723	1		0.529797939	1.180849348
YPL111W	0.999995723	1		0.52979786	1.180849171
YDL174C	0.999995723	1		0.529797913	1.180849289
YNL219C	0.999995723	1		0.529798438	1.18085046
YNL009W	0.999995723	1		0.529832875	1.180927217
YKR053C	0.999995723	1		0.529797908	1.18084928
YMR041C	0.999995723	1		0.529798467	1.180850524
YCL038C	0.999995723	1		0.529797923	1.180849311
YDR321W	0.999995723	1		0.529798039	1.18084957
YGR154C	0.999995723	1		0.529797913	1.18084929
YPR062W	0.999995723	1		0.529817248	1.180892386
YOR317W	0.999995723	1		0.529797914	1.180849293
YLR351C	0.999995723	1		0.529797978	1.180849434
YGR144W	0.999995723	1		0.530984182	1.183493327
YAL023C	0.999995723	1		0.530234378	1.181822113
YDL095W	0.999995723	1		0.530234378	1.181822113
YMR267W	0.999995723	1		0.529797858	1.180849167
YDR410C	0.999995723	1		0.529797914	1.180849293
YDR173C	0.999995723	1		0.529801153	1.180856513
YDR098C	0.999995723	1		0.529820699	1.180900078
YDR367W	0.999995723	1		0.529799007	1.180851728
YKL004W	0.999995723	1		0.529799007	1.180851728
YOR391C	0.999995723	1		0.530221494	1.181793396
YJL200C	0.999995723	1		0.529798041	1.180849574
YIR032C	0.999995723	1		0.529816827	1.180891446
YBR097W	0.999995723	1		0.530234376	1.181822108
YLR240W	0.999995723	1		0.530234376	1.181822108
YDR051C	0.999995723	1		0.529798032	1.180849556
YDL024C	0.999995723	1		0.529797986	1.180849453
YAL061W	0.999995723	1		0.530221926	1.181794359
YPL087W	0.999995723	1		0.52979786	1.180849171
YFR015C	0.999995723	1		0.529820699	1.180900078
YJR049C	0.999995723	1		0.529798467	1.180850524
YLR089C	0.999995723	1		0.529817449	1.180892833
YMR006C	0.999995723	1		0.529817117	1.180892093
YJR009C	0.999995723	1		0.529798467	1.180850524
YGR007W	0.999995723	1		0.529820399	1.180899408
YCR068W	0.999995723	1		0.529797913	1.180849289
YMR101C	0.999995723	1		0.530222564	1.18179578
YML022W	0.999995723	1		0.529799155	1.180852058
YPL023C	0.999995723	1		0.529797914	1.180849293
YDR039C	0.999995723	1		0.529797908	1.18084928
YER062C	0.999995723	1		0.529797914	1.180849293
YDR315C	0.999995723	1		0.529817117	1.180892093
YBR026C	0.999995723	1		0.529797913	1.180849289
YDR302W	0.999995723	1		0.529816816	1.180891423
YEL004W	0.999995723	1		0.529797913	1.180849289
YNL229C	0.999995723	1		0.529797913	1.180849289
YMR281W	0.999995723	1		0.529798469	1.180850529
YKL008C	0.999995723	1		0.529797978	1.180849435
YML004C	0.999995723	1		0.532879172	1.187717008
YER119C	0.999995723	1		0.531392594	1.184403622
YKR097W	0.999995723	1		0.529798414	1.180850406
YLR244C	0.999995723	1		0.53023904	1.181832504
YNL092W	0.999995723	1		0.53023819	1.18183061
YDR072C	0.999995723	1		0.529817094	1.180892042
YKR009C	0.999995723	1		0.531380368	1.184376372
YHR104W	0.999995723	1		0.529797913	1.180849289
YJL068C	0.999995723	1		0.52979786	1.180849171
YLL001W	0.999995723	1		0.531884147	1.18549923
YOR067C	0.999995723	1		0.531104114	1.18376064
YML086C	0.999995723	1		0.529797976	1.18084943
YDR284C	0.999995723	1		0.529798467	1.180850524
YMR298W	0.999995723	1		0.529797913	1.180849289
YKL103C	0.999995723	1		0.529801143	1.180856489
YER065C	0.999995723	1		0.529798065	1.180849629
YKL148C	0.999995723	1		0.529801653	1.180857627
YLR209C	0.999995723	1		0.529798831	1.180851337
YBR180W	0.999995723	1		0.529797913	1.180849289
YNL333W	0.999995723	1		0.531157707	1.183880091
YGL027C	0.999995723	1		0.529797913	1.180849289
YOL165C	0.999995723	1		0.52979786	1.180849171
YBR244W	0.999995723	1		0.529797858	1.180849167
YMR246W	0.999995723	1		0.529797913	1.18084929
YHL003C	0.999995723	1		0.529797913	1.180849289
YAL060W	0.999995723	1		0.529798467	1.180850524
YDL198C	0.999995723	1		0.529797913	1.18084929
YMR322C	0.999995723	1		0.530233582	1.18182034
YDR038C	0.999995723	1		0.52979786	1.180849171
YMR272C	0.999995723	1		0.529798023	1.180849535
YHR008C	0.999995723	1		0.529797974	1.180849425
YOL075C	0.999995723	1		0.529798006	1.180849498
YPL088W	0.999995723	1		0.52979786	1.180849171
YJL060W	0.999995723	1		0.529797913	1.180849289
YLR372W	0.999995723	1		0.529797947	1.180849365
YNR019W	0.999995723	1		0.529804663	1.180864335
YBR149W	0.999995723	1		0.53109564	1.183741752
YER019W	0.999995723	1		0.529797976	1.18084943
YOR285W	0.999995723	1		0.529799111	1.18085196
YLR410W	0.999995723	1		0.529826979	1.180914074
YHR119W	0.999995723	1		0.529800843	1.18085582
YOR241W	0.999995723	1		0.529817462	1.180892862
YDR226W	0.999995723	1		0.529797914	1.180849293
YDL066W	0.999995723	1		0.529817117	1.180892093
YGL017W	0.999995723	1		0.529799166	1.180852082
YGL063W	0.999995723	1		0.529801153	1.180856513
YBL011W	0.999995723	1		0.531884296	1.185499561
YLR056W	0.999995723	1		0.529798039	1.18084957
YFR053C	0.999995723	1		0.530931402	1.183375687
YIL134W	0.999995723	1		0.529797913	1.180849289
YCR010C	0.999995723	1	ADY2	0.529798469	1.180850529
YGR046W	0.999995723	1		0.529797929	1.180849326
YIL066C	0.999995723	1		0.529798467	1.180850524
YLR245C	0.999995723	1		0.529797913	1.180849289
YNL037C	0.999995723	1		0.529816827	1.180891446
