Row	s_4207	Growth		mutant_yield (u=0.05)	FC (0.05/0.1)
YDR300C	1.000077438	1		0.529826879	1.180913852
YHR042W	1.000077422	1		0.52980675	1.180868986
YHR019C	1.000075837	1		0.529826183	1.180912299
YDR341C	1.00007557	1		0.529806971	1.18086948
YGR094W	1.000075478	1		0.529826751	1.180913565
YBR018C	1.000073087	1		0.529806634	1.180868728
YML056C	1.000072221	1		0.529810649	1.180877676
YIR034C	1.000072146	1		0.529826252	1.180912454
YDL093W	1.000071353	1		0.529807055	1.180869667
YKL035W	1.000066032	1		0.529807568	1.180870811
YOL066C	1.000061044	1		0.529824888	1.180909413
YMR313C	1.000057955	1		0.529821018	1.180900789
YPR167C	1.000055938	1		0.529837413	1.180937331
YHR007C	1.000054605	1		0.529804928	1.180864926
YOR335C	1.000054455	1		0.529823208	1.180905669
YBR204C	1.000051563	1		0.529821025	1.180900805
YOL058W	1.000047772	1		0.529823443	1.180906194
YMR208W	1.000046969	1		0.529803608	1.180861984
YDR287W	1.000046858	1		0.529805539	1.180866288
YGL253W	1.000046678	1	HXK2	0.529743097	1.180727112
YHR046C	1.000046483	1		0.529823184	1.180905616
YPR113W	1.000045125	1		0.531162483	1.183890737
YHR025W	1.000044482	1		0.529780562	1.180810617
YLR450W	1.000043944	1		0.529822684	1.180904501
YML075C	1.000043629	1		0.5298322	1.180925712
YKL216W	1.000042582	1		0.529803584	1.180861931
YNR001C	1.000042307	1		0.531928331	1.185597708
YPR001W	1.000042286	1		0.52980419	1.180863281
YMR105C	1.000034394	1		0.52980264	1.180859827
YKL127W	1.000034393	1		0.52980264	1.180859827
YKL001C	1.000032396	1		0.529802814	1.180860214
YHR072W	1.000032376	1		0.529825129	1.180909952
YBL076C	1.000031416	1		0.529802179	1.180858799
YBR029C	1.000027445	1		0.529801667	1.180857658
YKL029C	1.000026465	1		0.529812218	1.180881173
YER003C	1.000025361	1		0.529829248	1.180919132
YDR408C	1.00002496	1		0.529801893	1.180858161
YKR089C	1.000024789	1		0.531384752	1.184386144
YOR081C	1.000023551	1		0.5298022	1.180858846
YPR183W	1.000023108	1		0.529820735	1.180900157
YBL039C	1.000022841	1		0.529803596	1.180861956
YJR103W	1.000022483	1		0.531431959	1.184491362
YJR105W	1.000021248	1		0.529800068	1.180854093
YOL064C	1.000020416	1		0.529800928	1.180856009
YMR271C	1.000019471	1		0.529800752	1.180855617
YBR166C	1.000018807	1		0.529819986	1.180898487
YMR261C	1.000018771	1		0.53139828	1.184416297
YMR062C	1.000018077	1		0.529806019	1.180867358
YLR043C	1.000017923	1		0.529801263	1.180856757
YDR037W	1.000017204	1		0.529804075	1.180863024
YCL030C	1.000016338	1		0.529800933	1.180856021
YML100W	1.000014774	1		0.529822884	1.180904947
YOR323C	1.000014672	1		0.529800155	1.180854288
YOR128C	1.000014519	1		0.529799648	1.180853158
YDR354W	1.000013994	1		0.529804395	1.180863737
YOR175C	1.000011902	1		0.52979949	1.180852805
YIL074C	1.000011891	1		0.53024097	1.181836806
YDR074W	1.000011159	1		0.529800437	1.180854916
YML082W	1.000010809	1		0.529798788	1.18085124
YER081W	1.000010597	1	SER3	0.531482985	1.184605091
YKL067W	1.000009878	1		0.529800185	1.180854355
YER052C	1.000009516	1	HOM3	0.529812278	1.180881308
YGR060W	1.000009438	1		0.529797974	1.180849427
YFR030W	1.000008612	1		0.529799077	1.180851885
YDL055C	1.000007763	1		0.529799457	1.180852731
YPR033C	1.000007757	1		0.5298189	1.180896067
YGR208W	1.000007657	1		0.529800169	1.180854319
YJR109C	1.00000733	1		0.529820811	1.180900326
YDR158W	1.000006693	1		0.53190358	1.185542544
YBR249C	1.000006568	1		0.52979974	1.180853361
YJR019C	1.000006487	1		0.529797888	1.180849233
YPR060C	1.000005858	1		0.529817743	1.180893489
YOL059W	1.000005825	1	GPD2	0.531467868	1.184571399
YDL066W	1.000005279	1		0.529823222	1.180905701
YDR035W	1.000005255	1		0.529831751	1.18092471
YAL060W	1.000005061	1		0.529798475	1.180850543
YDR007W	1.000004708	1		0.53023409	1.18182147
YCL064C	1.000004599	1		0.529828478	1.180917416
YMR300C	1.000004348	1		0.529822068	1.180903128
YAR015W	1.000004164	1		0.529798965	1.180851635
YEL021W	1.000004038	1		0.529817235	1.180892357
YJL088W	1.000003874	1		0.529799565	1.180852972
YHR018C	1.00000385	1		0.529817158	1.180892185
YBR126C	1.000003762	1		0.529798973	1.180851652
YGL125W	1.000003685	1		0.529818415	1.180894986
YPL023C	1.000003652	1		0.529802236	1.180858925
YOR176W	1.000003519	1		0.52979847	1.180850533
YBL033C	1.000003513	1		0.529798587	1.180850793
YHR144C	1.00000351	1		0.529797915	1.180849295
YER014W	1.000003506	1		0.529817117	1.180892093
YKL094W	1.000003505	1		0.529797913	1.180849289
YBR020W	1.000003505	1		0.52979786	1.180849171
YPL087W	1.000003505	1		0.530221857	1.181794206
YML054C	1.000003505	1		0.529798469	1.180850529
YDR403W	1.000003505	1		0.529797913	1.180849289
YNL277W	1.000003505	1		0.529797938	1.180849347
YOL052C	1.000003505	1		0.529797978	1.180849434
YJR110W	1.000003505	1		0.531429627	1.184486165
YDR072C	1.000003505	1		0.529817117	1.180892093
YBR058C-A	1.000003505	1		0.529798006	1.180849498
YEL029C	1.000003505	1		0.529801143	1.180856489
YLR201C	1.000003505	1		0.529817117	1.180892093
YOL065C	1.000003505	1		0.529798467	1.180850524
YLR303W	1.000003505	1		0.529817462	1.180892862
YDR284C	1.000003505	1		0.529797913	1.180849289
YBR035C	1.000003505	1		0.531392176	1.18440269
YJR025C	1.000003505	1		0.529817117	1.180892093
YLR372W	1.000003505	1		0.529817462	1.180892862
YJL101C	1.000003505	1	GSH1	0.529817117	1.180892093
YDR533C	1.000003505	1		0.529797982	1.180849444
YPL110C	1.000003505	1		0.529820644	1.180899955
YDL174C	1.000003505	1		0.529704284	1.180640603
YGR255C	1.000003505	1		0.529817117	1.180892093
YLR305C	1.000003505	1		0.529817117	1.180892093
YNL009W	1.000003505	1		0.529817117	1.180892093
YDR038C	1.000003505	1		0.529798587	1.180850792
YHR067W	1.000003505	1		0.529804859	1.180864773
YOL096C	1.000003505	1		0.529801153	1.180856513
YER015W	1.000003505	1		0.531054578	1.18365023
YMR250W	1.000003505	1		0.529797982	1.180849444
YMR241W	1.000003505	1		0.529797914	1.180849293
YPL265W	1.000003505	1		0.529797921	1.180849307
YJL196C	1.000003505	1		0.529820344	1.180899286
YJL003W	1.000003505	1		0.529817117	1.180892093
YBL030C	1.000003505	1		0.529798032	1.180849556
YBR085W	1.000003505	1		0.529798032	1.180849556
YLR240W	1.000003505	1		0.529817117	1.180892093
YMR056C	1.000003505	1		0.529798032	1.180849556
YGL224C	1.000003505	1		0.529817462	1.180892862
YLR020C	1.000003505	1		0.529823012	1.180905232
YDR428C	1.000003505	1		0.530226613	1.181804806
YJL097W	1.000003505	1		0.529798007	1.180849499
YMR084W	1.000003505	1		0.529798469	1.180850529
YIL066C	1.000003505	1		0.529797939	1.180849348
YEL071W	1.000003505	1		0.529703832	1.180639596
YDR208W	1.000003505	1		0.529817127	1.180892116
YDR380W	1.000003505	1		0.529817117	1.180892093
YMR170C	1.000003505	1		0.52979791	1.180849284
YEL041W	1.000003505	1		0.529797913	1.180849289
YNL202W	1.000003505	1		0.529817117	1.180892093
YNL334C	1.000003505	1		0.529798493	1.180850583
YGR062C	1.000003505	1		0.529798032	1.180849556
YDR148C	1.000003505	1		0.529797858	1.180849167
YJL071W	1.000003505	1		0.529817117	1.180892093
YLL012W	1.000003505	1		0.529817117	1.180892093
YDR256C	1.000003505	1		0.529797884	1.180849224
YDR399W	1.000003505	1		0.529798467	1.180850524
YKL120W	1.000003505	1		0.52979853	1.180850665
YPL111W	1.000003505	1		0.529817472	1.180892885
YKR031C	1.000003505	1		0.529817117	1.180892093
YNL037C	1.000003505	1	IDH1	0.529817117	1.180892093
YDR305C	1.000003505	1		0.529817117	1.180892093
YER053C	1.000003505	1		0.529798462	1.180850514
YJR077C	1.000003505	1		0.529798462	1.180850514
YBR069C	1.000003505	1		0.531441558	1.184512757
YDR040C	1.000003505	1		0.529817117	1.180892093
YLL062C	1.000003505	1		0.53109922	1.183749732
YGR277C	1.000003505	1		0.529817117	1.180892093
YDR353W	1.000003176	1		0.529799816	1.180853532
YJR073C	1.000003134	1		0.52982153	1.180901929
YLL058W	1.000003089	1		0.531885582	1.185502428
YJR137C	1.000002895	1		0.529799324	1.180852435
YIL020C	1.000002308	1		0.529818005	1.180894072
YER086W	1.000002279	1		0.531434757	1.184497598
YJR130C	1.000002096	1		0.5298176	1.18089317
YLR060W	1.000001811	1		0.529798129	1.180849772
YNL247W	1.000001685	1		0.529818274	1.180894671
YNR050C	1.000000896	1		0.529821273	1.180901356
YGL202W	1.000000749	1		0.529827235	1.180914644
YLR258W	1.0000006	1		0.529799155	1.180852058
YFR015C	1.000000598	1		0.5297986	1.180850822
YDR044W	1.000000215	1		0.529817143	1.18089215
YDR232W	1.00000007	1		0.529797921	1.180849308
YBL015W	1.000000006	1		0.529798822	1.180851315
YPR069C	1	1		0.529817303	1.180892508
YLR138W	1	1		0.529797914	1.180849293
YDR456W	1	1		0.529797914	1.180849293
YKL217W	1	1		0.530234336	1.181822019
YDL178W	1	1		0.52970375	1.180639413
YDR272W	1	1		0.529734014	1.180706868
YLR209C	1	1		0.529824559	1.18090868
YGR147C	1	1		0.529817462	1.180892862
YCL038C	1	1		0.529797913	1.180849289
YBR294W	1	1		0.529816816	1.180891423
YLR092W	1	1		0.529816816	1.180891423
YJR095W	1	1		0.529821311	1.180901441
YOR130C	1	1		0.529797914	1.180849293
YKR039W	1	1		0.529798469	1.180850529
YBR132C	1	1		0.529817117	1.180892093
YLR133W	1	1		0.529817117	1.180892093
YJL129C	1	1		0.529797914	1.180849293
YMR202W	1	1		0.529798467	1.180850524
YML008C	1	1		0.529798493	1.180850582
YFL058W	1	1		0.529797915	1.180849294
YDL185W	1	1		0.529798469	1.180850529
YBR208C	1	1		0.529798469	1.180850529
YGR191W	1	1		0.529800853	1.180855843
YBR241C	1	1		0.52979786	1.180849171
YGL104C	1	1		0.52979786	1.180849171
YGL037C	1	1		0.529797913	1.180849289
YLR244C	1	1		0.529826634	1.180913306
YBL013W	1	1		0.529797914	1.180849293
YBL042C	1	1		0.529798414	1.180850406
YBL064C	1	1		0.529817117	1.180892093
YBR004C	1	1		0.529797914	1.180849293
YBR021W	1	1		0.529797913	1.18084929
YBR026C	1	1		0.529817129	1.180892119
YBR034C	1	1		0.529797914	1.180849293
YBR110W	1	1		0.529797914	1.180849293
YBR149W	1	1		0.529797914	1.180849293
YBR180W	1	1		0.529798469	1.180850529
YBR213W	1	1		0.529797914	1.180849293
YBR298C	1	1		0.529817117	1.180892093
YCL052C	1	1		0.529797984	1.180849448
YCL069W	1	1		0.529798467	1.180850524
YCR024C	1	1		0.529797914	1.180849293
YCR075C	1	1		0.529798467	1.180850524
YCR083W	1	1		0.529817117	1.180892093
YDL045C	1	1		0.529799057	1.18085184
YDL090C	1	1		0.529817117	1.180892093
YDL182W	1	1		0.529797914	1.180849293
YDR058C	1	1		0.529797914	1.180849293
YDR261C	1	1		0.529798469	1.180850529
YDR268W	1	1		0.529797914	1.180849293
YDR294C	1	1		0.529797914	1.180849293
YEL042W	1	1		0.529797914	1.180849293
YER061C	1	1		0.529798469	1.180850529
YER175C	1	1		0.529797914	1.180849293
YGL142C	1	1		0.529817628	1.180893233
YGL225W	1	1		0.529817129	1.180892119
YGR007W	1	1		0.529817462	1.180892862
YGR065C	1	1		0.529817117	1.180892093
YGR096W	1	1		0.529797914	1.180849293
YGR171C	1	1		0.529797914	1.180849293
YGR260W	1	1		0.52979786	1.180849171
YGR282C	1	1		0.529817117	1.180892093
YHR068W	1	1		0.529797914	1.180849293
YHR091C	1	1		0.529797914	1.180849293
YHR106W	1	1		0.529797984	1.180849448
YIL010W	1	1		0.529797914	1.180849293
YIL134W	1	1		0.529798414	1.180850406
YJR013W	1	1		0.529798469	1.180850529
YJR159W	1	1		0.529817117	1.180892093
YKL019W	1	1		0.529817117	1.180892093
YKL055C	1	1		0.529798469	1.180850529
YKL194C	1	1		0.529797914	1.180849293
YKR066C	1	1		0.529797914	1.180849293
YKR069W	1	1		0.529797914	1.180849293
YLL048C	1	1		0.529797914	1.180849293
YLL057C	1	1		0.529797914	1.180849293
YLL061W	1	1		0.529797914	1.180849293
YLR070C	1	1		0.529797914	1.180849293
YLR172C	1	1		0.529797914	1.180849293
YLR189C	1	1		0.529797914	1.180849293
YLR285W	1	1		0.529797914	1.180849293
YLR299W	1	1		0.529797914	1.180849293
YLR300W	1	1		0.529816827	1.180891446
YLR308W	1	1		0.529797914	1.180849293
YLR382C	1	1		0.529797914	1.180849293
YMR006C	1	1		0.529817117	1.180892093
YMR013C	1	1		0.529797914	1.180849293
YMR088C	1	1		0.529798467	1.180850524
YMR207C	1	1		0.529798469	1.180850529
YMR293C	1	1		0.529798469	1.180850529
YNL073W	1	1		0.529797914	1.180849293
YNL129W	1	1		0.529797914	1.180849293
YNR056C	1	1		0.529797914	1.180849293
YOL033W	1	1		0.529797914	1.180849293
YOR040W	1	1		0.529797914	1.180849293
YOR143C	1	1		0.529798469	1.180850529
YOR190W	1	1		0.529816827	1.180891446
YPL040C	1	1		0.529797914	1.180849293
YPL059W	1	1		0.529797914	1.180849293
YPL097W	1	1		0.529797914	1.180849293
YPL104W	1	1		0.529797914	1.180849293
YPL244C	1	1		0.529797914	1.180849293
YPR006C	1	1		0.529797914	1.180849293
YPR047W	1	1		0.529797914	1.180849293
YDR071C	1	1		0.529797914	1.180849293
YOL092W	1	1		0.529798467	1.180850524
YAL039C	1	1		0.529801143	1.180856489
YKL087C	1	1		0.529817117	1.180892093
YBL080C	1	1		0.529797914	1.180849293
YBR111C	1	1		0.529817117	1.180892093
YBR147W	1	1		0.529797914	1.180849293
YDR352W	1	1		0.529797914	1.180849293
YBR295W	1	1		0.529797914	1.180849293
YEL031W	1	1		0.529798562	1.180850738
YER087W	1	1		0.529797914	1.180849293
YIL023C	1	1		0.529797914	1.180849293
YMR243C	1	1		0.529797914	1.180849293
YOR316C	1	1		0.529797914	1.180849293
YIR038C	1	1		0.529817117	1.180892093
YKR076W	1	1		0.529797914	1.180849293
YLL060C	1	1		0.529817117	1.180892093
YKL218C	1	1		0.529817117	1.180892093
YGR154C	1	1		0.529797914	1.180849293
YDL219W	1	1		0.529817117	1.180892093
YDR009W	1	1		0.529797914	1.180849293
YOL075C	1	1		0.529817117	1.180892093
YDR437W	1	1		0.529798469	1.180850529
YGR216C	1	1		0.529797914	1.180849293
YNL038W	1	1		0.529798469	1.180850529
YPL076W	1	1		0.529798469	1.180850529
YPL096C-A	1	1		0.529797914	1.180849293
YPL175W	1	1		0.529798469	1.180850529
YGL156W	1	1		0.529797914	1.180849293
YGL169W	1	1		0.529797914	1.180849293
YGR036C	1	1		0.529797914	1.180849293
YGR046W	1	1		0.529798562	1.180850738
YGR144W	1	1		0.529800853	1.180855843
YGR227W	1	1		0.529817117	1.180892093
YGR234W	1	1		0.529797914	1.180849293
YJL046W	1	1		0.529797914	1.180849293
YLL051C	1	1		0.529797914	1.180849293
YLR143W	1	1		0.529797914	1.180849293
YMR162C	1	1		0.529797914	1.180849293
YMR210W	1	1		0.529797914	1.180849293
YNL274C	1	1		0.529797984	1.180849448
YOR067C	1	1		0.529798469	1.180850529
YOR226C	1	1		0.529797914	1.180849293
YPL135W	1	1		0.529797914	1.180849293
YOR334W	1	1		0.529797914	1.180849293
YPL060W	1	1		0.529797914	1.180849293
YPR003C	1	1		0.529816827	1.180891446
YDR270W	1	1		0.529797914	1.180849293
YEL004W	1	1		0.529797914	1.180849293
YKL212W	1	1		0.529817472	1.180892885
YIL162W	1	1		0.529797914	1.180849293
YBR293W	1	1		0.529797913	1.180849289
YKL080W	1	1		0.529797913	1.180849289
YNL256W	1	1		0.529817117	1.180892093
YDL198C	1	1		0.529797913	1.180849289
YPR021C	1	1		0.529797976	1.18084943
YNL268W	1	1		0.529797914	1.180849293
YLR057W	1	1		0.531104127	1.183760668
YOR136W	1	1		0.529797913	1.180849289
YGL196W	1	1		0.531429211	1.184485238
YGR143W	1	1		0.529798469	1.180850529
YPR159W	1	1		0.529798469	1.180850529
YFL061W	1	1		0.529817117	1.180892093
YNL335W	1	1		0.529798491	1.180850577
YLL043W	1	1		0.529798477	1.180850547
YFL054C	1	1		0.529798477	1.180850547
YGL065C	1	1		0.529817117	1.180892093
YPR184W	1	1		0.529817117	1.180892093
YEL070W	1	1		0.529817117	1.180892093
YNR073C	1	1		0.529817628	1.180893233
YGR138C	1	1		0.529797913	1.180849289
YLL028W	1	1		0.529817117	1.180892093
YOR273C	1	1		0.529817117	1.180892093
YKL148C	1	1		0.529798032	1.180849556
YMR009W	1	1		0.529817117	1.180892093
YDR111C	1	1		0.529798397	1.18085037
YPR128C	1	1		0.529798824	1.180851321
YIL013C	1	1		0.529797961	1.180849397
YOR011W	1	1		0.529797961	1.180849397
YER070W	1	1		0.529798469	1.180850529
YBR127C	1	1		0.529798831	1.180851337
YBR235W	1	1		0.529797914	1.180849293
YDR538W	0.999999953	1		0.529817117	1.180892093
YDR047W	0.999999866	1		0.52979796	1.180849395
YKL104C	0.999999686	1		0.529798469	1.180850529
YFL060C	0.999999645	1		0.529817117	1.180892093
YBR176W	0.999999645	1		0.529798467	1.180850524
YGR247W	0.999999645	1		0.529800853	1.180855843
YDR481C	0.999999645	1		0.529798493	1.180850582
YDR531W	0.999999645	1		0.529817117	1.180892093
YDR098C	0.999999645	1		0.529798467	1.180850524
YOR054C	0.999999645	1		0.529798821	1.180851314
YFL059W	0.999999645	1		0.529820699	1.180900078
YCR005C	0.999999645	1		0.529798039	1.18084957
YNR033W	0.999999645	1		0.529801143	1.180856489
YMR322C	0.999999645	1		0.529797913	1.180849289
YBR002C	0.999999645	1		0.529798515	1.180850632
YCR098C	0.99999964	1		0.529797914	1.180849293
YBR248C	0.999998446	1		0.529798892	1.180851471
YHR137W	0.999998433	1		0.529817485	1.180892914
YGR157W	0.999998172	1		0.529801396	1.180857054
YJL137C	0.999998047	1		0.529817844	1.180893714
YKR058W	0.999997952	1		0.529798284	1.180850117
YGR155W	0.999997806	1		0.529817711	1.180893416
YMR189W	0.999997241	1		0.529798313	1.180850182
YDL141W	0.999997207	1		0.529799517	1.180852866
YDL022W	0.999997184	1		0.531079468	1.183705707
YER023W	0.999997006	1		0.529798572	1.180850759
YPL028W	0.999996634	1		0.529798022	1.180849532
