Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
cis,cis-muconic acid	cis,cis-muconic acid_5	cis,cis-muconic acid transport	cis,cis-muconate[c] => cis,cis-muconate[e]		0	0	1000											
cis,cis-muconic acid	cis,cis-muconic acid_6	cis,cis-muconic acid exchange	cis,cis-muconate[e] =>		1	0	1000											
																		
Resveratrol	Resveratrol_1	tyrosine ammonia-lyase	L-tyrosine[c] => ammonium[c] + trans-4-coumarate[c]	Haur_4629	0	0	1000	A9B0P2	0.076	56.397	4.3.1.23	0.15			Min	glucose		
Resveratrol	Resveratrol_2	4-coumaryl-CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => AMP[c] + diphosphate[c] + 4-coumaroyl-CoA[c]	4CL1	0	0	1000	Q42524	12.719375	61.053	6.2.1.12							
Resveratrol	Resveratrol_3	resveratrol synthase	3 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 4 carbon dioxide[c] + resveratrol[c]	VST1	0	0	1000	P28343	0.003	42.84	2.3.1.95							
Resveratrol	Resveratrol_4	resveratrol transport	resveratrol[c] => resveratrol[e]		0	0	1000											
Resveratrol	Resveratrol_5	resveratrol exchange	resveratrol[e] =>		1	0	1000											
																		
Genistein	Genistein_1	Phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL 	0	0	1000	P45730	22	77.919	4.3.1.24	0.1			YEP	glucose		
Genistein	Genistein_2	Cinnamate-4-hydroxylase	H+[c] + oxygen[c] + cinnamate[c] + NADPH[c] => H2O[c] + NADP(+)[c] + trans-4-coumarate[c]	C4H 	0	0	1000	C0LUU6	161.8	58.011	1.14.13.11							
Genistein	Genistein_3	4-coumarate:CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => diphosphate[c] + AMP[c] + 4-coumaroyl-CoA[c]	4CL 	0	0	1000	C0LUU7	0.101656667	60.994	6.2.1.12							
Genistein	Genistein_4	Isoflavone synthase	naringenin[c] => 3 H+[c] + genistein[c]	IFS 	0	0	Inf	Q9M6D6		58.93	1.14.14.87							
Genistein	Genistein_5	Chalcone synthase	2 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + naringenin chalcone[c]	CHS 	0	0	1000	Q6X0M9	0.006019133	42.488	2.3.1.74							
Genistein	Genistein_6	Chalcone isomerase	H+[c] + naringenin chalcone[c] => naringenin[c]	CHI 	0	0	1000	C0LUV0	139.8476667	24.679	5.5.1.6							
Genistein	Genistein_7	Flavanone 3-hydroxylase	naringenin[c] + oxygen[c] + 2-oxoglutarate[c] => carbon dioxide[c] + succinate[c] + dihydrokaempferol[c]	F3H 	0	0	0	Q53B69		42.673	1.14.11.9							
Genistein	Genistein_8	Flavonoid 3'-hydroxylase	H+[c] + oxygen[c] + NADPH[c] + dihydrokaempferol[c] => dihydroquercetin[c] + H2O[c] + NADP(+)[c]	F3'H 	0	0	0	Q8W3Y5	12.5	56.982	1.14.13.21							
Genistein	Genistein_9	Flavonol synthase	dihydrokaempferol[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + kaempferol[c]	FLS 	0	0	0	C0LUV3	6.6	40.041	1.14.11.23							
Genistein	Genistein_10	Flavonol synthase	dihydroquercetin[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + quercetin[c]	FLS 	0	0	0	C0LUV3	3.9	40.041	1.14.11.23							
Genistein	Genistein_11	quercetin transport	quercetin[c] => quercetin[e]		0	0	1000											
Genistein	Genistein_12	quercetin exchange	quercetin[e] =>		0	0	1000											
Genistein	Genistein_13	kaempferol transport	kaempferol[c] => kaempferol[e]		0	0	1000											
Genistein	Genistein_14	kaempferol exchange	kaempferol[e] =>		0	0	1000											
Genistein	Genistein_15	genisteinl transport	genistein[c] => genistein[e]		0	0	1000											
Genistein	Genistein_16	genistein exchange	genistein[e] =>		1	0	1000											
																		
Kaempferol	Kaempferol_1	Phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL 	0	0	1000	P45730	22	77.919	4.3.1.24	0.1			YEP	glucose		
Kaempferol	Kaempferol_2	Cinnamate-4-hydroxylase	H+[c] + oxygen[c] + cinnamate[c] + NADPH[c] => H2O[c] + NADP(+)[c] + trans-4-coumarate[c]	C4H 	0	0	1000	C0LUU6	161.8	58.011	1.14.13.11							
Kaempferol	Kaempferol_3	4-coumarate:CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => diphosphate[c] + AMP[c] + 4-coumaroyl-CoA[c]	4CL 	0	0	1000	C0LUU7	0.101656667	60.994	6.2.1.12							
Kaempferol	Kaempferol_4	Isoflavone synthase	naringenin[c] => 3 H+[c] + genistein[c]	IFS 	0	0	0	Q9M6D6		58.93	1.14.14.87							
Kaempferol	Kaempferol_5	Chalcone synthase	2 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + naringenin chalcone[c]	CHS 	0	0	1000	Q6X0M9	0.006019133	42.488	2.3.1.74							
Kaempferol	Kaempferol_6	Chalcone isomerase	H+[c] + naringenin chalcone[c] => naringenin[c]	CHI 	0	0	1000	C0LUV0	139.8476667	24.679	5.5.1.6							
Kaempferol	Kaempferol_7	Flavanone 3-hydroxylase	naringenin[c] + oxygen[c] + 2-oxoglutarate[c] => carbon dioxide[c] + succinate[c] + dihydrokaempferol[c]	F3H 	0	0	1000	Q53B69		42.673	1.14.11.9							
Kaempferol	Kaempferol_8	Flavonoid 3'-hydroxylase	H+[c] + oxygen[c] + NADPH[c] + dihydrokaempferol[c] => dihydroquercetin[c] + H2O[c] + NADP(+)[c]	F3'H 	0	0	1000	Q8W3Y5	12.5	56.982	1.14.13.21							
Kaempferol	Kaempferol_9	Flavonol synthase	dihydrokaempferol[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + kaempferol[c]	FLS 	0	0	Inf	C0LUV3	6.6	40.041	1.14.11.23							
Kaempferol	Kaempferol_10	Flavonol synthase	dihydroquercetin[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + quercetin[c]	FLS 	0	0	0	C0LUV3	3.9	40.041	1.14.11.23							
Kaempferol	Kaempferol_11	quercetin transport	quercetin[c] => quercetin[e]		0	0	1000											
Kaempferol	Kaempferol_12	quercetin exchange	quercetin[e] =>		0	0	1000											
Kaempferol	Kaempferol_13	kaempferol transport	kaempferol[c] => kaempferol[e]		0	0	1000											
Kaempferol	Kaempferol_14	kaempferol exchange	kaempferol[e] =>		1	0	1000											
Kaempferol	Kaempferol_15	genisteinl transport	genistein[c] => genistein[e]		0	0	1000											
Kaempferol	Kaempferol_16	genistein exchange	genistein[e] =>		0	0	1000											
																		
Quercetin	Quercetin_1	Phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL 	0	0	1000	P45730	22	77.919	4.3.1.24	0.1			YEP	glucose		
Quercetin	Quercetin_2	Cinnamate-4-hydroxylase	H+[c] + oxygen[c] + cinnamate[c] + NADPH[c] => H2O[c] + NADP(+)[c] + trans-4-coumarate[c]	C4H 	0	0	1000	C0LUU6	161.8	58.011	1.14.13.11							
Quercetin	Quercetin_3	4-coumarate:CoA ligase	trans-4-coumarate[c] + ATP[c] + coenzyme A[c] => diphosphate[c] + AMP[c] + 4-coumaroyl-CoA[c]	4CL 	0	0	1000	C0LUU7	0.101656667	60.994	6.2.1.12							
Quercetin	Quercetin_4	Isoflavone synthase	naringenin[c] => 3 H+[c] + genistein[c]	IFS 	0	0	0	Q9M6D6		58.93	1.14.14.87							
Quercetin	Quercetin_5	Chalcone synthase	2 H+[c] + 4-coumaroyl-CoA[c] + 3 malonyl-CoA[c] => 4 coenzyme A[c] + 3 carbon dioxide[c] + naringenin chalcone[c]	CHS 	0	0	1000	Q6X0M9	0.006019133	42.488	2.3.1.74							
Quercetin	Quercetin_6	Chalcone isomerase	H+[c] + naringenin chalcone[c] => naringenin[c]	CHI 	0	0	1000	C0LUV0	139.8476667	24.679	5.5.1.6							
Quercetin	Quercetin_7	Flavanone 3-hydroxylase	naringenin[c] + oxygen[c] + 2-oxoglutarate[c] => carbon dioxide[c] + succinate[c] + dihydrokaempferol[c]	F3H 	0	0	1000	Q53B69		42.673	1.14.11.9							
Quercetin	Quercetin_8	Flavonoid 3'-hydroxylase	H+[c] + oxygen[c] + NADPH[c] + dihydrokaempferol[c] => dihydroquercetin[c] + H2O[c] + NADP(+)[c]	F3'H 	0	0	1000	Q8W3Y5	12.5	56.982	1.14.13.21							
Quercetin	Quercetin_9	Flavonol synthase	dihydrokaempferol[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + kaempferol[c]	FLS 	0	0	0	C0LUV3	6.6	40.041	1.14.11.23							
Quercetin	Quercetin_10	Flavonol synthase	dihydroquercetin[c] + 2-oxoglutarate[c] + oxygen[c] => H+[c] + carbon dioxide[c] + H2O[c] + succinate[c] + quercetin[c]	FLS 	0	0	1000	C0LUV3	3.9	40.041	1.14.11.23							
Quercetin	Quercetin_11	quercetin transport	quercetin[c] => quercetin[e]		0	0	1000											
Quercetin	Quercetin_12	quercetin exchange	quercetin[e] =>		1	0	1000											
Quercetin	Quercetin_13	kaempferol transport	kaempferol[c] => kaempferol[e]		0	0	1000											
Quercetin	Quercetin_14	kaempferol exchange	kaempferol[e] =>		0	0	1000											
Quercetin	Quercetin_15	genisteinl transport	genistein[c] => genistein[e]		0	0	1000											
Quercetin	Quercetin_16	genistein exchange	genistein[e] =>		0	0	1000											
																		
Trans-cinnamate	Trans-cinnamate_1	phenylalanine ammonia-lyase	L-phenylalanine[c] => ammonium[c] + cinnamate[c]	PAL 	0	0	1000	P11544	25.7	76.88	4.3.1.24	0.1			YEP	glucose		
Trans-cinnamate	Trans-cinnamate_2	cinnamate transport	cinnamate[c] => cinnamate[e]		0	0	1000											
Trans-cinnamate	Trans-cinnamate_3	cinnamate exchange	cinnamate[e] =>		1	0	1000											
																		
p-coumaric acid	p-coumaric acid_1	tyrosine ammonia-lyase	L-tyrosine[c] => ammonium[c] + p-coumaric acid[c]	TAL 	0	0	1000	A5FKY3	0.023	56.649	4.3.1.23	0.1			YEP	glucose	YDR380W,YLR134W	
p-coumaric acid	p-coumaric acid_2	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.215305458	39.7487	2.5.1.54							
p-coumaric acid	p-coumaric acid_3	chorismate mutase	chorismate[c] => prephenate[c]	ARO7G141S 	0	0	1000	P32178ly	0.1338606	29.7468	5.4.99.5							
p-coumaric acid	p-coumaric acid_4	shikimate kinase	ATP[c] + shikimate[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c]	aroL 	0	0	1000	P0A6E1	31.91833333	19.151	2.7.1.71							
p-coumaric acid	p-coumaric acid_5	p-coumaric acid transport	p-coumaric acid[c] => p-coumaric acid[e]		0	0	1000											
p-coumaric acid	p-coumaric acid_6	p-coumaric acid exchange	p-coumaric acid[e] =>		1	0	1000											
																		
Artemisinic acid	Artemisinic acid_1	amorphadiene synthase	farnesyl diphosphate[c] => diphosphate[c] + amorpha-4,11-diene[c]	ADS 	0	0	1000	Q9AR04	0.186	63.933	4.2.3.24	0.1			YEP	glucose		
Artemisinic acid	Artemisinic acid_2	Amorpha-4,11-diene 12-monooxygenase	2 H+[c] + amorpha-4,11-diene[c] + 3 oxygen[c] + 3 NADPH[c] => 4 H2O[c] + 3 NADP(+)[c] + artemisinic acid[c]	CYP71AV1 	0	0	1000	Q1PS23	7.74	55.725	1.14.14.114							
Artemisinic acid	Artemisinic acid_3	artemisinic acid transport	artemisinic acid[c] => artemisinic acid[e]		0	0	1000											
Artemisinic acid	Artemisinic acid_4	artemisinic acid exchange	artemisinic acid[e] =>		1	0	1000											
Artemisinic acid	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
Artemisinic acid	r_0558No2	hydroxymethylglutaryl CoA reductase (No2)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YML075C	0	0	1000	P12683	92.4996	115.624	1.1.1.34							
Artemisinic acid	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	0.825	51.7193	2.5.1.21							
			 															
¦Â-Carotene	¦Â-Carotene_1	geranylgeranyl diphosphate synthase	farnesyl diphosphate[c] + isopentenyl diphosphate[c] => diphosphate[c] + geranylgeranyl diphosphate[c]	crtE 	0	0	1000	Q1L6K3	8.4	42.153	2.5.1.29	0.1			YEP	glucose		
¦Â-Carotene	¦Â-Carotene_2	Bifunctional lycopene cyclase/phytoene synthase	2 geranylgeranyl diphosphate[c] => 2 diphosphate[c] + phytoene[c]	crtYB 	0	0	1000	Q7Z859	0.0834552	74.736	2.5.1.32							
¦Â-Carotene	¦Â-Carotene_3	Phytoene desaturase	phytoene[c] => neurosporene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
¦Â-Carotene	¦Â-Carotene_4	Phytoene desaturase	neurosporene[c] + oxygen[c] => 2 H2O[c] + lycopene[c]	crtI 	0	0	1000	Q7Z858	0.000314486	65.066	1.3.99.28							
¦Â-Carotene	¦Â-Carotene_5	Bifunctional lycopene cyclase/phytoene synthase	lycopene[c] => ¦Â-carotene[c]	crtYB 	0	0	1000	Q7Z859	0.4434336	74.736	5.5.1.19							
¦Â-Carotene	¦Â-Carotene_6	¦Â-carotene transport	¦Â-carotene[c] => ¦Â-carotene[e]		0	0	1000											
¦Â-Carotene	¦Â-Carotene_7	¦Â-carotene exchange	¦Â-carotene[e] =>		1	0	1000											
¦Â-Carotene	r_0558No1	hydroxymethylglutaryl CoA reductase (No1)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YLR450W	0	0	1000	P12684	92.5526	115.691	1.1.1.34							
																		
Linalool	Linalool_1	monoterpene synthase	geranyl diphosphate[c] + H2O[c] => diphosphate[c] + linalool[c]	NES1 	0	0	1000	H9M5U5	0.044	65.381	4.2.3.25	0.09			Min	glucose		
Linalool	Linalool_2	Limonene synthase 	geranyl diphosphate[c] => diphosphate[c] + Limonene[c]	ClLIS1 	0	0	1000	Q8L5K3	0.186	70.348	4.2.3.20							
Linalool	Linalool_3	linalool transport	linalool[c] => linalool[e]		0	0	1000											
Linalool	Linalool_4	linalool exchange	linalool[e] =>		1	0	1000											
Linalool	Linalool_5	limonene transport	Limonene[c] => Limonene[e]		0	0	1000											
Linalool	Linalool_6	limonene exchange	Limonene[e] =>		0	0	1000											
Linalool	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	0.55	40.4829								
																		
Limonene	Limonene_1	monoterpene synthase	geranyl diphosphate[c] + H2O[c] => diphosphate[c] + linalool[c]	NES1 	0	0	1000	H9M5U5	0.044	65.381	4.2.3.25	0.1			Min	glucose		
Limonene	Limonene_2	Limonene synthase 	geranyl diphosphate[c] => diphosphate[c] + Limonene[c]	ClLIS1 	0	0	1000	Q8L5K3	0.186	70.348	4.2.3.20							
Limonene	Limonene_3	linalool transport	linalool[c] => linalool[e]		0	0	1000											
Limonene	Limonene_4	linalool exchange	linalool[e] =>		0	0	1000											
Limonene	Limonene_5	limonene transport	Limonene[c] => Limonene[e]		0	0	1000											
Limonene	Limonene_6	limonene exchange	Limonene[e] =>		1	0	1000											
Limonene	r_0462No1	geranyltranstransferase (No1)	geranyl diphosphate[c] + isopentenyl diphosphate[c] => farnesyl diphosphate[c] + diphosphate[c]	YJL167W	0	0	1000	P08524	0.55	40.4829								
																		
4-hydroxymandelic	4-hydroxymandelic_1	hydroxymandelate synthase	3-(4-hydroxyphenyl)pyruvate[c] + oxygen[c] => carbon dioxide[c] + 4-hydroxymandelic[c]	hmaS 	0	0	1000	Q5J1Q8	3.7	36.597	1.13.11.46	0.1			Min	glucose	YNL316C,YER090W,YDR380W,YLR134W,YGL202W	
4-hydroxymandelic	4-hydroxymandelic_2	hydroxymandelate synthase	keto-phenylpyruvate[c] + oxygen[c] => carbon dioxide[c] + mandelic[c] + H+[c]	hmaS 	0	0	1000	Q5J1Q8	0.88	36.597	1.13.11.46							
4-hydroxymandelic	4-hydroxymandelic_3	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.215305458	39.7487	2.5.1.54							
4-hydroxymandelic	4-hydroxymandelic_4	4-hydroxymandelic transport	4-hydroxymandelic[c] => 4-hydroxymandelic[e]		0	0	1000											
4-hydroxymandelic	4-hydroxymandelic_5	4-hydroxymandelic exchange	4-hydroxymandelic[e] =>		1	0	1000											
4-hydroxymandelic	4-hydroxymandelic_6	mandelic transport	mandelic[c] => mandelic[e]	 	0	0	1000											
4-hydroxymandelic	4-hydroxymandelic_7	mandelic exchange	mandelic[e] =>		0	0	1000											
4-hydroxymandelic	4-hydroxymandelic_8	anthranilate transport	anthranilate[e] => anthranilate[c]		0	0	1000											
4-hydroxymandelic	4-hydroxymandelic_9	anthranilate exchange	 => anthranilate[e]		0	0	1											
4-hydroxymandelic	r_0997No1	shikimate dehydrogenase	ATP[c] + shikimate[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c]	YDR127W	0	0	1000	P08566	120	174.753								
4-hydroxymandelic	r_1903_REV				0	0	1											
																		
mandelic	mandelic_1	hydroxymandelate synthase	3-(4-hydroxyphenyl)pyruvate[c] + oxygen[c] => carbon dioxide[c] + 4-hydroxymandelic[c]	hmaS 	0	0	1000	Q5J1Q8	3.7	36.597	1.13.11.46	0.1			Min	glucose	YBR166C,YER090W,YDR380W,YLR134W,YGL202W	
mandelic	mandelic_2	hydroxymandelate synthase	keto-phenylpyruvate[c] + oxygen[c] => carbon dioxide[c] + mandelic[c] + H+[c]	hmaS 	0	0	1000	Q5J1Q8	0.88	36.597	1.13.11.46							
mandelic	mandelic_3	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.215305458	39.7487	2.5.1.54							
mandelic	mandelic_4	4-hydroxymandelic transport	4-hydroxymandelic[c] => 4-hydroxymandelic[e]		0	0	1000											
mandelic	mandelic_5	4-hydroxymandelic exchange	4-hydroxymandelic[e] =>		0	0	1000											
mandelic	mandelic_6	mandelic transport	mandelic[c] => mandelic[e]		0	0	1000											
mandelic	mandelic_7	mandelic exchange	mandelic[e] =>		1	0	1000											
mandelic	mandelic_8	anthranilate transport	anthranilate[e] => anthranilate[c]		0	0	1000											
mandelic	mandelic_9	anthranilate exchange	 => anthranilate[e]		0	0	1											
mandelic	r_0997No1	shikimate dehydrogenase	ATP[c] + shikimate[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c]	YDR127W	0	0	1000	P08566	120	174.753								
mandelic	r_1913_REV				0	0	1											
																		
Oleanolic acid	Oleanolic acid_1	Beta-amyrin synthase	(S)-2,3-epoxysqualene[c] => ¦Â-amyrin[c]	GgbAS1 	0	0	1000	Q9MB42	0.77	87.516	5.4.99.39	0.1			YEP	glucose	YBR020W	
Oleanolic acid	Oleanolic acid_2	Beta-amyrin 28-monooxygenase	2 H+[c] + ¦Â-amyrin[c] + 3 oxygen[c] + 3 NADPH[c] => 4 H2O[c] + Oleanolic acid[c] + 3 NADP(+)[c]	CYP716A12 	0	0	1000	Q2MJ20		54.713	1.14.13.201							
Oleanolic acid	Oleanolic acid_3	oleanolic acid transport	Oleanolic acid[c] => Oleanolic acid[e]		0	0	1000											
Oleanolic acid	Oleanolic acid_4	oleanolic acid exchange	Oleanolic acid[e] =>		1	0	1000											
Oleanolic acid	r_0558No2	hydroxymethylglutaryl CoA reductase (No2)	pmet_r_0558[c] => (R)-mevalonate[c] + coenzyme A[c] + 2 NADP(+)[c]	YML075C	0	0	1000	P12683	92.4996									
Oleanolic acid	r_1010No1	squalene epoxidase (NAD) (No1)	H+[er] + NADH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NAD[er]	YGR175C	0	0	1000	P32476	0.152									
Oleanolic acid	r_1011No1	squalene epoxidase (NADP) (No1)	H+[er] + NADPH[er] + oxygen[er] + squalene[er] => (S)-2,3-epoxysqualene[er] + H2O[er] + NADP(+)[er]	YGR175C	0	0	1000	P32476	0.152									
Oleanolic acid	r_1012No1	squalene synthase (No1)	2 farnesyl diphosphate[c] + H+[c] + NADPH[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c]	YHR190W	0	0	1000	P29704	3.3									
																		
Fumaric acid	Fumaric acid_1	malate dehydrogenase	H+[c] + NADH[c] + oxaloacetate[c] => (S)-malate[c] + NAD[c]	RoMDH 	0	0	1000	D6R7B7	24.026625	35.595	1.1.1.37	0.1			Min	glucose	block r_0714_REVNo1 (Mdh2p is known to be subject to glucose catabolite inactivation)	
Fumaric acid	r_0958No1	pyruvate carboxylase (No1)	pmet_r_0958[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	YBR218C	0	0	1000	P32327	72.48055072	130.166								
Fumaric acid	r_0958No2	pyruvate carboxylase (No2)	pmet_r_0958[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	YGL062W	0	0	1000	P11154	72.48041459	130.098								
Fumaric acid	r_1798				1	0	Inf											
Fumaric acid	r_0714_REVNo1				0	0	0											
																		
Pyruvate	Pyruvate_1	NADH oxidase	oxygen[c] + 3 H+[c] + NADH[c] => 2 H2O[c] + NAD[c]	noxE	0	0	1000	A2RIB7	57.4246	48.872	1.6.99.3	0.2			YEP	glucose	YLR044C,YLR134W,YGR087C	
Pyruvate	Pyruvate_2	transhydrogenase	NADP(+)[c] + NADH[c] => NADPH[c] + NAD[c]	udhA	0	0	1000	P27306	167.9	51.56	1.6.1.1							
Pyruvate	Pyruvate_2_REV	transhydrogenase	NADPH[c] + NAD[c] => NADP(+)[c] + NADH[c]	udhA	0	0	1000	P27306	9.1304	51.56	1.6.1.1							
Pyruvate	r_2033				1	0	Inf											
																		
Adipic acid	Adipic acid_1	dehydroshikimate dehydratase	3-dehydroshikimate[c] => 3,4-Dihydroxybenzoate[c] + H2O[c]	Pa_5_5120 	0	0	1000	3DSD	121.44	40.48	4.2.1.118	0.1			YEP	glucose	YDR035W,YBR249C,YNL241C	
Adipic acid	Adipic acid_2	protocatechuic acid decarboxylase	3,4-Dihydroxybenzoate[c] + H+[c] => carbon dioxide[c] + Catechol[c]	ECL_01944 	0	0	1000	A0A0H3CJN8	90	53.541	4.1.1.63							
Adipic acid	Adipic acid_3	catechol 1,2-dioxygenase	Catechol[c] + oxygen[c] => 2 H+[c] + cis,cis-muconate[c]	HQD2 	0	0	1000	P86029	157.7333333	33.8	1.13.11.1							
Adipic acid	Adipic acid_4	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.082809792	39.7487	2.5.1.54							
Adipic acid	Adipic acid_5	cis,cis-muconic acid transport	cis,cis-muconate[c] => cis,cis-muconate[e]		0	0	1000											
Adipic acid	Adipic acid_6	cis,cis-muconic acid exchange	cis,cis-muconate[e] =>		0	0	1000											
Adipic acid	Adipic acid_7	enoate reductase	cis,cis-muconate[c] + NADH[c] + 3 H+[c] => Adipic acid[c] + NAD[c]	ERBC	0	0	1000	G2TQU6	8.376025	72.835	1.3.1.31	0.1			YEP	glucose		
Adipic acid	Adipic acid_8	adipic acid transport	Adipic acid[c] => Adipic acid[e]		0	0	1000											
